"planning_unit","number"
321,0
320,20
319,20
318,1
317,20
316,0
315,19
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,9
303,0
302,0
301,0
300,0
299,10
298,0
297,0
296,6
295,1
294,7
293,0
292,0
291,0
290,0
289,3
288,19
287,20
286,0
285,0
284,0
283,0
282,0
281,20
280,0
279,20
278,0
277,20
276,20
275,0
274,20
273,0
272,20
271,1
270,0
269,0
268,0
267,20
266,0
265,0
264,0
263,0
262,0
261,20
260,20
259,0
258,0
257,20
256,0
255,2
254,20
253,19
252,20
251,19
250,0
249,20
248,4
247,6
246,0
245,20
244,0
243,18
242,0
241,20
240,19
239,7
238,19
237,20
236,20
235,5
234,0
233,0
232,0
231,4
230,20
229,20
228,20
227,0
226,20
225,0
224,0
223,1
222,0
221,0
220,0
219,6
218,20
217,20
216,0
215,0
214,20
213,0
212,0
211,16
210,3
209,0
208,17
207,0
206,0
205,0
204,0
203,5
202,20
201,4
200,20
199,0
198,14
197,0
196,20
195,0
194,0
193,0
192,1
191,0
190,0
189,5
188,0
187,20
186,20
185,20
184,4
183,0
182,11
181,20
180,0
179,0
178,16
177,0
176,0
175,0
174,0
173,0
172,20
171,3
170,20
169,0
168,3
167,2
166,0
165,0
164,0
163,1
162,1
161,1
160,0
159,0
158,0
157,0
156,0
155,0
154,0
153,0
152,1
151,0
150,0
149,20
148,0
147,0
146,13
145,0
144,0
143,20
142,0
141,0
140,3
139,0
138,0
137,20
136,6
135,0
134,7
133,0
132,0
131,0
130,3
129,2
128,0
127,0
126,0
125,3
124,17
123,0
122,1
121,0
120,20
119,0
118,0
117,0
116,0
115,0
114,20
113,0
112,0
111,0
110,0
109,10
108,0
107,0
106,4
105,10
104,6
103,0
102,0
101,10
100,0
99,0
98,0
97,0
96,0
95,0
94,4
93,0
92,0
91,0
90,10
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,0
81,0
80,0
79,0
78,0
77,0
76,3
75,0
74,0
73,0
72,0
71,0
70,1
69,0
68,0
67,0
66,19
65,0
64,0
63,0
62,8
61,4
60,4
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,13
51,0
50,3
49,0
48,0
47,0
46,0
45,20
44,0
43,0
42,0
41,0
40,0
39,8
38,0
37,20
36,0
35,6
34,0
33,20
32,1
31,20
30,0
29,18
28,9
27,20
26,4
25,0
24,2
23,8
22,0
21,0
20,0
19,20
18,8
17,3
16,0
15,0
14,20
13,8
12,0
11,20
10,8
9,18
8,20
7,20
6,20
5,20
4,0
3,0
2,0
1,20
