"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.201209,0,64,0,0,,1.000000
37,,0.000000,1884.985444,0,63,0,0,,1.000000
36,,0.000000,64.000000,0,64,0,0,,1.000000
35,,0.000000,279.575105,0,64,0,0,,1.000000
34,,0.000000,2916.769740,0,63,0,0,,1.000000
33,,0.000000,11335.000000,0,64,0,0,,1.000000
32,,0.000000,236.863226,0,64,0,0,,1.000000
31,,0.000000,236.863226,0,64,0,0,,1.000000
30,,0.600000,0.601005,0,64,0,0,yes,1.000000
29,,0.000000,0.288354,0,64,0,0,,1.000000
28,,0.000000,279.575105,0,64,0,0,,1.000000
27,,0.000000,11910.222488,0,64,0,0,,1.000000
26,,0.000000,11335.000000,0,64,0,0,,1.000000
25,,83.960600,223.898000,0,5,0,0,yes,1.000000
24,,208.627000,416.526000,0,20,0,0,yes,1.000000
23,,111.385700,270.838000,0,21,0,0,yes,1.000000
22,,47.074880,74.636800,0,9,0,0,yes,1.000000
21,,25.215290,30.853000,0,5,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,3,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,60000.000000,0,6,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,90000.000000,0,6,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,993100000.000000,0,22,0,0,yes,1.000000
7,,141523000.000000,984640000.000000,0,18,0,0,yes,1.000000
6,,10969000.000000,30270000.000000,0,3,0,0,yes,1.000000
5,,1726000.000000,6290000.000000,0,2,0,0,yes,1.000000
4,,1458000.000000,2020000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,73430000.000000,0,5,0,0,yes,1.000000
1,,79138000.000000,469680000.000000,0,18,0,0,yes,1.000000
