"planning_unit","number"
321,10
320,14
319,13
318,8
317,20
316,8
315,9
314,7
313,8
312,11
311,10
310,11
309,12
308,11
307,8
306,13
305,13
304,14
303,11
302,11
301,7
300,11
299,11
298,5
297,11
296,9
295,11
294,7
293,11
292,8
291,8
290,13
289,10
288,10
287,14
286,10
285,10
284,11
283,7
282,6
281,14
280,8
279,13
278,7
277,19
276,20
275,10
274,11
273,6
272,10
271,7
270,14
269,12
268,7
267,14
266,10
265,8
264,10
263,9
262,14
261,14
260,11
259,9
258,10
257,13
256,8
255,10
254,11
253,16
252,12
251,8
250,6
249,13
248,14
247,12
246,10
245,9
244,8
243,13
242,9
241,12
240,9
239,8
238,8
237,13
236,12
235,9
234,10
233,6
232,11
231,11
230,20
229,11
228,15
227,11
226,14
225,9
224,11
223,12
222,8
221,8
220,10
219,8
218,10
217,17
216,12
215,9
214,13
213,7
212,7
211,12
210,7
209,10
208,11
207,9
206,6
205,6
204,6
203,14
202,17
201,13
200,13
199,10
198,11
197,10
196,13
195,7
194,11
193,13
192,4
191,9
190,11
189,9
188,6
187,20
186,12
185,20
184,9
183,8
182,11
181,16
180,12
179,5
178,9
177,7
176,9
175,12
174,8
173,7
172,16
171,10
170,13
169,9
168,12
167,13
166,6
165,8
164,9
163,5
162,11
161,11
160,13
159,10
158,12
157,11
156,8
155,5
154,11
153,14
152,9
151,10
150,10
149,18
148,12
147,11
146,13
145,11
144,15
143,20
142,10
141,7
140,15
139,7
138,11
137,16
136,14
135,8
134,13
133,13
132,10
131,12
130,12
129,11
128,12
127,9
126,8
125,15
124,14
123,14
122,9
121,9
120,18
119,13
118,4
117,10
116,11
115,11
114,19
113,8
112,12
111,10
110,13
109,7
108,10
107,7
106,10
105,15
104,8
103,8
102,14
101,14
100,8
99,7
98,9
97,10
96,7
95,10
94,15
93,12
92,13
91,9
90,10
89,8
88,7
87,7
86,14
85,5
84,11
83,10
82,10
81,7
80,8
79,9
78,15
77,7
76,12
75,10
74,9
73,9
72,9
71,8
70,8
69,8
68,10
67,8
66,18
65,13
64,11
63,10
62,15
61,11
60,7
59,7
58,6
57,12
56,9
55,9
54,9
53,7
52,14
51,5
50,15
49,8
48,11
47,11
46,6
45,13
44,10
43,7
42,12
41,6
40,10
39,11
38,6
37,15
36,8
35,12
34,10
33,19
32,10
31,16
30,10
29,4
28,12
27,18
26,11
25,8
24,10
23,15
22,12
21,7
20,10
19,20
18,19
17,11
16,7
15,11
14,13
13,13
12,9
11,19
10,10
9,8
8,18
7,12
6,14
5,20
4,8
3,7
2,10
1,20
