"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,182.948245,182.000000,182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948245,0.000009,1,0.999988
2,183.000000,183.000000,183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,181.000000,181.000000,181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,150.000000,150.000000,150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,175.000000,175.000000,175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,170.000000,170.000000,170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,170.000000,170.000000,170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,183.000000,183.000000,183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,168.000000,168.000000,168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
10,174.000000,174.000000,174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
11,162.000000,162.000000,162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
12,161.000000,161.000000,161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
13,186.748213,186.000000,186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.748213,0.000007,1,0.999990
14,159.000000,159.000000,159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
15,170.000000,170.000000,170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
16,188.690277,188.000000,188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690277,0.000006,1,0.999991
17,168.000000,168.000000,168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
18,179.000000,179.000000,179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
19,178.938263,178.000000,178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.938263,0.000009,1,0.999988
20,159.000000,159.000000,159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
