"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.268197,0,184,0,0,,1.000000
37,,0.000000,5828.385382,0,183,0,0,,1.000000
36,,0.000000,184.000000,0,184,0,0,,1.000000
35,,0.000000,319.064632,0,184,0,0,,1.000000
34,,0.000000,8870.423523,0,183,0,0,,1.000000
33,,0.000000,33496.000000,0,184,0,0,,1.000000
32,,0.000000,271.926055,0,184,0,0,,1.000000
31,,0.000000,271.926055,0,184,0,0,,1.000000
30,,0.800000,0.800331,0,184,0,0,yes,1.000000
29,,0.000000,0.386562,0,184,0,0,,1.000000
28,,0.000000,319.064632,0,184,0,0,,1.000000
27,,0.000000,32557.605464,0,183,0,0,,1.000000
26,,0.000000,33496.000000,0,184,0,0,,1.000000
25,,83.960600,565.896000,0,14,0,0,yes,1.000000
24,,208.627000,1207.655000,0,57,0,0,yes,1.000000
23,,111.385700,667.793000,0,53,0,0,yes,1.000000
22,,47.074880,271.897700,0,32,0,0,yes,1.000000
21,,25.215290,127.898900,0,21,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,40000.000000,0,4,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,90000.000000,0,9,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,60000.000000,0,4,0,0,yes,1.000000
14,,17000.000000,130000.000000,0,10,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,4040000.000000,0,3,0,0,yes,1.000000
8,,155863000.000000,1212290000.000000,0,44,0,0,yes,1.000000
7,,141523000.000000,1305590000.000000,0,55,0,0,yes,1.000000
6,,10969000.000000,64900000.000000,0,19,0,0,yes,1.000000
5,,1726000.000000,15060000.000000,0,13,0,0,yes,1.000000
4,,1458000.000000,6140000.000000,0,11,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,86040000.000000,0,11,0,0,yes,1.000000
1,,79138000.000000,612840000.000000,0,36,0,0,yes,1.000000
