"planning_unit","solution"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,0
