"planning_unit","number"
321,4
320,1
319,6
318,1
317,20
316,0
315,2
314,2
313,3
312,0
311,0
310,1
309,1
308,1
307,0
306,0
305,1
304,5
303,0
302,0
301,0
300,5
299,7
298,0
297,3
296,0
295,3
294,2
293,0
292,1
291,0
290,1
289,2
288,3
287,0
286,0
285,0
284,2
283,0
282,0
281,0
280,1
279,4
278,1
277,0
276,0
275,0
274,0
273,1
272,5
271,2
270,0
269,1
268,0
267,2
266,4
265,0
264,0
263,0
262,2
261,11
260,1
259,1
258,0
257,0
256,1
255,4
254,4
253,0
252,0
251,1
250,0
249,1
248,0
247,9
246,1
245,1
244,0
243,0
242,1
241,2
240,3
239,3
238,2
237,3
236,0
235,0
234,1
233,1
232,1
231,4
230,1
229,1
228,2
227,2
226,2
225,1
224,3
223,3
222,2
221,4
220,2
219,0
218,1
217,2
216,1
215,0
214,1
213,2
212,1
211,2
210,0
209,2
208,2
207,1
206,1
205,4
204,2
203,1
202,1
201,4
200,1
199,2
198,13
197,3
196,0
195,0
194,2
193,3
192,1
191,5
190,0
189,6
188,1
187,3
186,0
185,9
184,1
183,2
182,0
181,0
180,1
179,2
178,3
177,0
176,1
175,2
174,2
173,3
172,1
171,1
170,3
169,1
168,4
167,1
166,2
165,0
164,1
163,1
162,0
161,0
160,2
159,2
158,3
157,2
156,0
155,4
154,0
153,4
152,0
151,3
150,2
149,2
148,2
147,2
146,0
145,3
144,2
143,20
142,2
141,1
140,8
139,1
138,3
137,2
136,1
135,1
134,0
133,1
132,2
131,1
130,1
129,3
128,4
127,2
126,0
125,5
124,4
123,1
122,5
121,1
120,2
119,6
118,1
117,0
116,0
115,2
114,4
113,0
112,1
111,1
110,3
109,0
108,5
107,3
106,2
105,2
104,3
103,2
102,0
101,0
100,5
99,1
98,2
97,2
96,1
95,4
94,1
93,2
92,1
91,1
90,2
89,1
88,3
87,3
86,3
85,1
84,0
83,2
82,2
81,2
80,2
79,0
78,1
77,3
76,3
75,0
74,0
73,1
72,0
71,0
70,2
69,0
68,2
67,2
66,5
65,0
64,0
63,3
62,2
61,2
60,2
59,0
58,1
57,0
56,2
55,0
54,2
53,0
52,6
51,0
50,2
49,3
48,3
47,2
46,0
45,2
44,2
43,0
42,0
41,1
40,2
39,1
38,2
37,0
36,1
35,1
34,0
33,4
32,0
31,1
30,3
29,1
28,0
27,0
26,6
25,2
24,2
23,3
22,1
21,2
20,3
19,7
18,1
17,0
16,3
15,1
14,0
13,6
12,1
11,14
10,0
9,2
8,1
7,1
6,1
5,20
4,3
3,2
2,1
1,20
