"planning_unit","solution"
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,0
250,0
251,1
252,1
253,1
254,1
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,1
