"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.243778,0,223,0,0,,1.000000
37,,0.000000,7160.774614,0,223,0,0,,1.000000
36,,0.000000,223.000000,0,223,0,0,,1.000000
35,,0.000000,269.438958,0,223,0,0,,1.000000
34,,0.000000,10867.818646,0,222,0,0,,1.000000
33,,40427.100000,40427.000000,0,223,0,0,no,0.999998
32,,0.000000,232.535206,0,223,0,0,,1.000000
31,,0.000000,232.535206,0,223,0,0,,1.000000
30,,0.000000,0.687062,0,223,0,0,,1.000000
29,,0.000000,0.458970,0,223,0,0,,1.000000
28,,0.000000,269.438958,0,223,0,0,,1.000000
27,,0.000000,39951.334653,0,222,0,0,,1.000000
26,,0.000000,40427.000000,0,223,0,0,,1.000000
25,,83.960600,446.480000,0,11,0,0,yes,1.000000
24,,208.627000,1446.591000,0,70,0,0,yes,1.000000
23,,111.385700,748.965000,0,59,0,0,yes,1.000000
22,,47.074880,378.218400,0,44,0,0,yes,1.000000
21,,25.215290,162.760400,0,27,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,60000.000000,0,5,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,90000.000000,0,9,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,70000.000000,0,5,0,0,yes,1.000000
14,,17000.000000,100000.000000,0,7,0,0,yes,1.000000
13,,7000.000000,50000.000000,0,3,0,0,yes,1.000000
12,,4000.000000,40000.000000,0,3,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,11300000.000000,0,6,0,0,yes,1.000000
8,,155863000.000000,987150000.000000,0,46,0,0,yes,1.000000
7,,141523000.000000,866090000.000000,0,64,0,0,yes,1.000000
6,,10969000.000000,58550000.000000,0,29,0,0,yes,1.000000
5,,1726000.000000,14400000.000000,0,11,0,0,yes,1.000000
4,,1458000.000000,12980000.000000,0,20,0,0,yes,1.000000
3,,1713000.000000,10870000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,138420000.000000,0,19,0,0,yes,1.000000
1,,79138000.000000,616990000.000000,0,39,0,0,yes,1.000000
