"planning_unit","number"
321,1
320,0
319,8
318,0
317,20
316,4
315,2
314,1
313,2
312,0
311,0
310,3
309,1
308,1
307,2
306,0
305,1
304,9
303,1
302,1
301,0
300,1
299,7
298,2
297,1
296,0
295,3
294,2
293,0
292,1
291,3
290,4
289,1
288,4
287,1
286,0
285,1
284,1
283,0
282,1
281,2
280,0
279,0
278,0
277,3
276,0
275,1
274,0
273,3
272,7
271,0
270,1
269,0
268,1
267,5
266,0
265,2
264,1
263,0
262,2
261,11
260,1
259,1
258,0
257,0
256,1
255,6
254,4
253,1
252,1
251,3
250,0
249,3
248,0
247,13
246,0
245,1
244,1
243,0
242,0
241,0
240,2
239,0
238,0
237,2
236,1
235,1
234,0
233,1
232,0
231,5
230,3
229,2
228,0
227,0
226,0
225,0
224,4
223,1
222,2
221,2
220,2
219,0
218,1
217,3
216,1
215,2
214,3
213,0
212,0
211,1
210,3
209,0
208,0
207,1
206,0
205,2
204,3
203,3
202,3
201,2
200,1
199,3
198,9
197,1
196,2
195,2
194,0
193,1
192,1
191,1
190,0
189,5
188,0
187,3
186,2
185,10
184,0
183,0
182,0
181,0
180,2
179,1
178,3
177,0
176,1
175,1
174,2
173,1
172,1
171,2
170,0
169,4
168,2
167,0
166,4
165,4
164,0
163,1
162,0
161,5
160,0
159,4
158,2
157,3
156,2
155,1
154,1
153,4
152,0
151,0
150,1
149,5
148,0
147,0
146,0
145,4
144,1
143,20
142,0
141,0
140,7
139,0
138,1
137,5
136,3
135,2
134,0
133,2
132,0
131,1
130,2
129,4
128,3
127,5
126,0
125,9
124,3
123,1
122,7
121,7
120,4
119,3
118,0
117,0
116,1
115,0
114,2
113,0
112,1
111,2
110,4
109,0
108,3
107,3
106,1
105,0
104,3
103,3
102,0
101,2
100,1
99,1
98,0
97,1
96,2
95,2
94,2
93,1
92,0
91,1
90,2
89,4
88,0
87,3
86,1
85,0
84,0
83,1
82,0
81,4
80,0
79,0
78,4
77,1
76,2
75,1
74,0
73,0
72,1
71,0
70,1
69,0
68,1
67,0
66,8
65,0
64,1
63,1
62,0
61,0
60,2
59,0
58,0
57,0
56,0
55,0
54,1
53,0
52,4
51,1
50,0
49,0
48,0
47,2
46,0
45,1
44,5
43,2
42,1
41,1
40,1
39,0
38,3
37,0
36,1
35,1
34,2
33,2
32,0
31,2
30,2
29,7
28,0
27,0
26,9
25,1
24,3
23,1
22,2
21,3
20,3
19,2
18,0
17,0
16,3
15,1
14,1
13,4
12,2
11,11
10,1
9,4
8,0
7,2
6,3
5,20
4,4
3,1
2,1
1,20
