"planning_unit","number"
321,0
320,0
319,0
318,1
317,20
316,1
315,6
314,0
313,1
312,0
311,0
310,0
309,0
308,0
307,1
306,0
305,0
304,16
303,2
302,1
301,0
300,0
299,3
298,0
297,5
296,16
295,1
294,3
293,0
292,0
291,1
290,1
289,0
288,15
287,1
286,0
285,0
284,0
283,2
282,1
281,1
280,5
279,2
278,0
277,1
276,2
275,3
274,0
273,0
272,20
271,4
270,0
269,0
268,0
267,2
266,2
265,1
264,0
263,1
262,1
261,20
260,1
259,0
258,0
257,0
256,0
255,5
254,8
253,0
252,0
251,1
250,0
249,5
248,1
247,12
246,0
245,1
244,0
243,0
242,0
241,8
240,3
239,0
238,0
237,5
236,0
235,0
234,0
233,0
232,0
231,0
230,6
229,0
228,4
227,0
226,0
225,0
224,1
223,1
222,2
221,5
220,2
219,0
218,0
217,11
216,1
215,0
214,0
213,1
212,0
211,6
210,1
209,0
208,1
207,0
206,0
205,3
204,1
203,2
202,15
201,1
200,0
199,0
198,8
197,0
196,1
195,0
194,0
193,0
192,0
191,3
190,0
189,5
188,0
187,2
186,0
185,10
184,0
183,0
182,0
181,0
180,0
179,0
178,2
177,0
176,1
175,1
174,0
173,0
172,0
171,1
170,4
169,1
168,1
167,1
166,7
165,0
164,1
163,0
162,2
161,3
160,0
159,1
158,1
157,2
156,0
155,3
154,1
153,1
152,0
151,1
150,1
149,11
148,0
147,0
146,0
145,0
144,0
143,20
142,0
141,1
140,3
139,0
138,0
137,5
136,1
135,1
134,0
133,0
132,4
131,0
130,0
129,3
128,1
127,1
126,0
125,3
124,2
123,1
122,8
121,4
120,2
119,2
118,0
117,2
116,1
115,0
114,7
113,0
112,0
111,0
110,4
109,0
108,3
107,0
106,0
105,1
104,5
103,1
102,1
101,7
100,0
99,2
98,2
97,1
96,0
95,2
94,0
93,3
92,1
91,0
90,3
89,0
88,0
87,0
86,4
85,0
84,0
83,0
82,1
81,0
80,0
79,0
78,0
77,2
76,1
75,3
74,2
73,2
72,0
71,0
70,0
69,0
68,2
67,1
66,19
65,0
64,0
63,0
62,0
61,3
60,2
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,0
51,0
50,0
49,2
48,1
47,0
46,0
45,0
44,3
43,1
42,0
41,1
40,0
39,1
38,2
37,1
36,0
35,0
34,0
33,20
32,3
31,0
30,0
29,5
28,0
27,0
26,6
25,3
24,2
23,2
22,2
21,2
20,3
19,7
18,0
17,2
16,0
15,1
14,3
13,1
12,2
11,13
10,1
9,0
8,3
7,0
6,1
5,20
4,2
3,5
2,0
1,20
