"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.089373,0,60,0,0,,1.000000
37,,0.000000,1907.328982,0,60,0,0,,1.000000
36,,0.000000,60.000000,0,60,0,0,,1.000000
35,,0.000000,92.698592,0,60,0,0,,1.000000
34,,0.000000,2903.873139,0,59,0,0,,1.000000
33,,0.000000,11568.000000,0,60,0,0,,1.000000
32,,0.000000,81.903706,0,60,0,0,,1.000000
31,,0.000000,81.903706,0,60,0,0,,1.000000
30,,0.000000,0.205947,0,60,0,0,,1.000000
29,,0.000000,0.217211,0,60,0,0,,1.000000
28,,0.000000,92.698592,0,60,0,0,,1.000000
27,,0.000000,11267.205561,0,60,0,0,,1.000000
26,,11550.600000,11568.000000,0,60,0,0,yes,1.000000
25,,83.960600,109.298000,0,3,0,0,yes,1.000000
24,,208.627000,338.266000,0,18,0,0,yes,1.000000
23,,111.385700,209.496000,0,16,0,0,yes,1.000000
22,,47.074880,92.116400,0,11,0,0,yes,1.000000
21,,25.215290,54.527600,0,9,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,3,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,30000.000000,0,3,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,60000.000000,0,4,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,7760000.000000,0,2,0,0,yes,1.000000
8,,155863000.000000,298120000.000000,0,7,0,0,yes,1.000000
7,,141523000.000000,395690000.000000,0,16,0,0,yes,1.000000
6,,10969000.000000,17500000.000000,0,10,0,0,yes,1.000000
5,,1726000.000000,6620000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,4870000.000000,0,6,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,55240000.000000,0,5,0,0,yes,1.000000
1,,79138000.000000,274830000.000000,0,13,0,0,yes,1.000000
