"planning_unit","number"
321,7
320,1
319,5
318,1
317,20
316,3
315,8
314,6
313,1
312,0
311,1
310,0
309,1
308,0
307,1
306,1
305,1
304,5
303,0
302,2
301,4
300,4
299,11
298,1
297,2
296,2
295,0
294,0
293,1
292,0
291,1
290,0
289,0
288,2
287,1
286,1
285,1
284,1
283,1
282,0
281,1
280,1
279,4
278,0
277,2
276,3
275,1
274,2
273,1
272,2
271,1
270,1
269,3
268,2
267,3
266,0
265,3
264,1
263,0
262,2
261,2
260,2
259,2
258,2
257,1
256,2
255,6
254,0
253,1
252,5
251,4
250,2
249,0
248,1
247,10
246,3
245,2
244,3
243,3
242,2
241,3
240,0
239,3
238,3
237,5
236,2
235,3
234,3
233,3
232,3
231,7
230,2
229,5
228,4
227,7
226,7
225,4
224,5
223,4
222,8
221,5
220,7
219,6
218,6
217,3
216,3
215,5
214,8
213,5
212,4
211,6
210,8
209,4
208,8
207,5
206,4
205,2
204,4
203,7
202,6
201,7
200,8
199,5
198,13
197,6
196,9
195,8
194,6
193,6
192,8
191,8
190,7
189,9
188,5
187,7
186,5
185,7
184,2
183,5
182,8
181,5
180,6
179,8
178,9
177,7
176,7
175,9
174,11
173,8
172,9
171,8
170,7
169,11
168,7
167,10
166,8
165,10
164,9
163,12
162,9
161,6
160,9
159,8
158,8
157,12
156,7
155,7
154,6
153,13
152,10
151,9
150,11
149,13
148,12
147,9
146,8
145,10
144,10
143,20
142,9
141,6
140,10
139,7
138,7
137,10
136,6
135,6
134,6
133,10
132,8
131,9
130,9
129,8
128,6
127,6
126,8
125,8
124,12
123,3
122,10
121,8
120,6
119,7
118,7
117,9
116,10
115,8
114,10
113,7
112,8
111,8
110,6
109,9
108,8
107,10
106,3
105,8
104,8
103,5
102,7
101,8
100,10
99,8
98,7
97,8
96,4
95,8
94,7
93,8
92,7
91,7
90,7
89,9
88,6
87,7
86,9
85,9
84,6
83,4
82,9
81,9
80,2
79,10
78,9
77,2
76,2
75,7
74,2
73,5
72,4
71,6
70,3
69,6
68,4
67,3
66,9
65,9
64,6
63,7
62,3
61,7
60,7
59,4
58,7
57,9
56,4
55,7
54,5
53,12
52,9
51,7
50,6
49,10
48,2
47,5
46,5
45,6
44,5
43,4
42,4
41,5
40,3
39,0
38,5
37,5
36,3
35,7
34,1
33,4
32,4
31,2
30,4
29,11
28,6
27,7
26,4
25,4
24,1
23,3
22,5
21,3
20,7
19,6
18,6
17,7
16,3
15,2
14,1
13,4
12,4
11,5
10,4
9,4
8,3
7,3
6,5
5,20
4,0
3,2
2,3
1,20
