"planning_unit","solution"
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,0
