"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.327562,0,286,0,0,,1.000000
37,,0.000000,9174.213787,0,285,0,0,,1.000000
36,,0.000000,286.000000,0,286,0,0,,1.000000
35,,0.000000,322.088234,0,286,0,0,,1.000000
34,,0.000000,13961.570531,0,285,0,0,,1.000000
33,,0.000000,51980.000000,0,286,0,0,,1.000000
32,,0.000000,307.789758,0,286,0,0,,1.000000
31,,0.000000,307.789758,0,286,0,0,,1.000000
30,,0.000000,0.885859,0,286,0,0,,1.000000
29,,0.000000,0.576026,0,286,0,0,,1.000000
28,,0.000000,322.088234,0,286,0,0,,1.000000
27,,0.000000,52226.573985,0,284,0,0,,1.000000
26,,51977.700000,51980.000000,0,286,0,0,yes,1.000000
25,,83.960600,707.320000,0,17,0,0,yes,1.000000
24,,208.627000,1837.963000,0,87,0,0,yes,1.000000
23,,111.385700,1026.722000,0,82,0,0,yes,1.000000
22,,47.074880,426.317300,0,50,0,0,yes,1.000000
21,,25.215290,226.995600,0,38,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,60000.000000,0,6,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,120000.000000,0,12,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,110000.000000,0,8,0,0,yes,1.000000
14,,17000.000000,160000.000000,0,13,0,0,yes,1.000000
13,,7000.000000,50000.000000,0,4,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,11870000.000000,0,8,0,0,yes,1.000000
8,,155863000.000000,1446280000.000000,0,62,0,0,yes,1.000000
7,,141523000.000000,1346230000.000000,0,75,0,0,yes,1.000000
6,,10969000.000000,108340000.000000,0,42,0,0,yes,1.000000
5,,1726000.000000,15740000.000000,0,14,0,0,yes,1.000000
4,,1458000.000000,13470000.000000,0,22,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,153580000.000000,0,22,0,0,yes,1.000000
1,,79138000.000000,589110000.000000,0,51,0,0,yes,1.000000
