"planning_unit","number"
321,1
320,0
319,4
318,3
317,20
316,0
315,3
314,1
313,2
312,1
311,0
310,1
309,0
308,1
307,5
306,0
305,2
304,6
303,2
302,0
301,0
300,3
299,6
298,0
297,4
296,2
295,5
294,3
293,0
292,2
291,1
290,1
289,2
288,0
287,0
286,2
285,1
284,1
283,0
282,0
281,3
280,0
279,5
278,2
277,7
276,2
275,2
274,0
273,2
272,13
271,2
270,2
269,1
268,0
267,6
266,2
265,2
264,1
263,0
262,0
261,3
260,2
259,1
258,3
257,1
256,2
255,7
254,2
253,1
252,1
251,3
250,0
249,2
248,1
247,11
246,1
245,4
244,0
243,0
242,1
241,3
240,2
239,3
238,4
237,3
236,1
235,1
234,0
233,1
232,1
231,2
230,0
229,2
228,1
227,0
226,3
225,0
224,2
223,1
222,1
221,1
220,2
219,0
218,0
217,1
216,0
215,4
214,1
213,0
212,1
211,0
210,2
209,0
208,4
207,0
206,1
205,0
204,3
203,3
202,0
201,2
200,1
199,1
198,9
197,0
196,1
195,1
194,0
193,1
192,0
191,2
190,0
189,2
188,1
187,2
186,2
185,15
184,0
183,1
182,1
181,1
180,5
179,0
178,2
177,0
176,0
175,0
174,2
173,0
172,1
171,1
170,6
169,2
168,1
167,0
166,0
165,1
164,1
163,3
162,3
161,1
160,0
159,2
158,2
157,1
156,1
155,1
154,1
153,3
152,1
151,1
150,0
149,6
148,0
147,0
146,0
145,1
144,4
143,20
142,2
141,1
140,8
139,2
138,2
137,0
136,1
135,1
134,3
133,1
132,0
131,0
130,0
129,3
128,3
127,1
126,0
125,4
124,2
123,1
122,5
121,4
120,4
119,1
118,1
117,0
116,1
115,1
114,3
113,1
112,1
111,0
110,2
109,1
108,2
107,2
106,0
105,2
104,6
103,3
102,2
101,2
100,2
99,2
98,1
97,1
96,2
95,1
94,2
93,1
92,0
91,0
90,2
89,0
88,0
87,2
86,1
85,1
84,1
83,1
82,1
81,1
80,0
79,0
78,5
77,0
76,1
75,1
74,0
73,1
72,1
71,0
70,0
69,4
68,1
67,0
66,8
65,0
64,5
63,2
62,3
61,2
60,3
59,0
58,0
57,1
56,1
55,0
54,0
53,0
52,7
51,0
50,0
49,2
48,0
47,2
46,5
45,0
44,1
43,1
42,0
41,1
40,1
39,1
38,2
37,2
36,1
35,0
34,0
33,1
32,0
31,1
30,1
29,6
28,2
27,0
26,7
25,1
24,5
23,1
22,2
21,1
20,0
19,8
18,1
17,2
16,4
15,1
14,0
13,4
12,2
11,13
10,1
9,3
8,3
7,2
6,1
5,20
4,1
3,2
2,0
1,20
