"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
2,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
3,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
4,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
5,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
6,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
7,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
8,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
9,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
10,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
11,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
12,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
13,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
14,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
15,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
16,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
17,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
18,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
19,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
20,303.646043,293.000000,293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.646043,0.000021,1,0.999967
