"planning_unit","number"
321,4
320,0
319,3
318,0
317,20
316,1
315,4
314,2
313,0
312,1
311,0
310,1
309,1
308,0
307,1
306,0
305,1
304,11
303,5
302,3
301,2
300,2
299,5
298,1
297,5
296,2
295,2
294,5
293,0
292,1
291,0
290,1
289,0
288,4
287,0
286,0
285,1
284,1
283,1
282,1
281,1
280,0
279,9
278,0
277,1
276,0
275,16
274,0
273,1
272,20
271,10
270,3
269,0
268,0
267,0
266,2
265,0
264,1
263,1
262,0
261,20
260,0
259,0
258,1
257,1
256,0
255,7
254,6
253,3
252,0
251,2
250,0
249,5
248,0
247,14
246,0
245,2
244,0
243,0
242,0
241,3
240,4
239,1
238,0
237,2
236,0
235,0
234,2
233,0
232,2
231,0
230,2
229,0
228,1
227,0
226,0
225,0
224,2
223,0
222,2
221,6
220,1
219,0
218,0
217,2
216,2
215,3
214,1
213,0
212,1
211,6
210,0
209,1
208,1
207,0
206,1
205,1
204,1
203,0
202,3
201,2
200,0
199,3
198,6
197,0
196,1
195,0
194,2
193,3
192,0
191,5
190,0
189,5
188,0
187,1
186,3
185,1
184,0
183,0
182,8
181,2
180,0
179,0
178,3
177,0
176,1
175,0
174,1
173,0
172,0
171,1
170,1
169,0
168,9
167,1
166,6
165,2
164,1
163,3
162,5
161,2
160,0
159,2
158,1
157,1
156,1
155,0
154,2
153,4
152,2
151,1
150,0
149,6
148,0
147,1
146,0
145,1
144,0
143,20
142,1
141,0
140,5
139,0
138,0
137,3
136,2
135,0
134,0
133,0
132,2
131,0
130,0
129,2
128,1
127,0
126,0
125,3
124,2
123,0
122,6
121,4
120,2
119,1
118,1
117,1
116,0
115,0
114,5
113,0
112,0
111,0
110,4
109,1
108,2
107,1
106,1
105,0
104,5
103,0
102,0
101,1
100,1
99,3
98,0
97,0
96,2
95,2
94,1
93,1
92,2
91,1
90,0
89,0
88,0
87,1
86,3
85,0
84,1
83,1
82,2
81,3
80,1
79,0
78,2
77,1
76,1
75,3
74,0
73,1
72,0
71,0
70,0
69,2
68,0
67,0
66,16
65,0
64,0
63,0
62,0
61,1
60,1
59,1
58,1
57,1
56,0
55,0
54,2
53,0
52,1
51,0
50,0
49,2
48,1
47,0
46,0
45,0
44,2
43,0
42,2
41,0
40,0
39,0
38,3
37,0
36,0
35,3
34,1
33,20
32,19
31,0
30,0
29,11
28,0
27,0
26,8
25,3
24,5
23,2
22,0
21,1
20,2
19,5
18,1
17,0
16,1
15,0
14,0
13,0
12,1
11,9
10,1
9,1
8,1
7,1
6,1
5,20
4,2
3,5
2,0
1,20
