"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.293577,0,75,0,0,,1.000000
37,,0.000000,2281.040721,0,74,0,0,,1.000000
36,,0.000000,75.000000,0,75,0,0,,1.000000
35,,0.000000,117.363746,0,75,0,0,,1.000000
34,,0.000000,3628.352888,0,75,0,0,,1.000000
33,,0.000000,12836.000000,0,75,0,0,,1.000000
32,,0.000000,205.502293,0,75,0,0,,1.000000
31,,0.000000,205.502293,0,75,0,0,,1.000000
30,,0.000000,0.298850,0,75,0,0,,1.000000
29,,0.582750,0.583083,0,75,0,0,yes,1.000000
28,,0.000000,117.363746,0,75,0,0,,1.000000
27,,0.000000,18520.083369,0,74,0,0,,1.000000
26,,0.000000,12836.000000,0,75,0,0,,1.000000
25,,83.960600,97.228000,0,3,0,0,yes,1.000000
24,,208.627000,454.334000,0,21,0,0,yes,1.000000
23,,111.385700,355.976000,0,28,0,0,yes,1.000000
22,,47.074880,78.319500,0,9,0,0,yes,1.000000
21,,25.215290,61.210500,0,10,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,80000.000000,0,8,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,30000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,40000.000000,0,4,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,8020000.000000,0,2,0,0,yes,1.000000
8,,155863000.000000,1021660000.000000,0,27,0,0,yes,1.000000
7,,141523000.000000,707820000.000000,0,21,0,0,yes,1.000000
6,,10969000.000000,12080000.000000,0,3,0,0,yes,1.000000
5,,1726000.000000,11710000.000000,0,5,0,0,yes,1.000000
4,,1458000.000000,5010000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,9220000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,96240000.000000,0,10,0,0,yes,1.000000
1,,79138000.000000,373430000.000000,0,10,0,0,yes,1.000000
