"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,0.500000,0.500434,0,309,0,0,yes,1.000000
20,,23853801.540661,155277480.351674,0,27,0,0,yes,1.000000
19,,102797716.068924,552127987.934090,0,28,0,0,yes,1.000000
18,,3456201.354849,27486471.071823,0,2,0,0,yes,1.000000
17,,227195960.353977,1282281065.592174,0,54,0,0,yes,1.000000
16,,148175890.094612,968530736.307400,0,32,0,0,yes,1.000000
15,,13102763.391318,52231141.371569,0,10,0,0,yes,1.000000
14,,6001996.155702,22577184.212234,0,9,0,0,yes,1.000000
13,,8931772.451034,14431659.749310,0,7,0,0,yes,1.000000
12,,352533215.344209,617932235.505033,0,18,0,0,yes,1.000000
11,,501908512.966683,2533937582.149947,0,50,0,0,yes,1.000000
10,,551448418.822755,2582577686.879771,0,25,0,0,yes,1.000000
9,,6062635.478561,42979535.754501,0,11,0,0,yes,1.000000
8,,1170071012.657410,7908813230.910564,0,67,0,0,yes,1.000000
7,,376396272.768339,1116145033.737759,0,13,0,0,yes,1.000000
6,,283242187.381411,1307934173.807155,0,13,0,0,yes,1.000000
5,,501694534.627578,3898152422.780309,0,39,0,0,yes,1.000000
4,,145211448.600232,726764491.031396,0,12,0,0,yes,1.000000
3,,746665780.128168,2965503802.542914,0,35,0,0,yes,1.000000
2,,213197082.166299,829558146.892788,0,13,0,0,yes,1.000000
1,,111056428.065240,416108107.347927,0,9,0,0,yes,1.000000
