"planning_unit","solution"
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,1
534,1
535,1
536,0
537,0
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,0
562,0
563,1
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,0
581,0
582,1
583,0
584,1
585,1
586,1
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,0
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,1
617,1
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,1
633,0
634,0
635,1
636,1
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
