"planning_unit","number"
652,3
651,4
650,6
649,7
648,1
647,5
646,4
645,3
644,2
643,3
642,0
641,0
640,3
639,9
638,9
637,6
636,8
635,9
634,5
633,10
632,8
631,3
630,3
629,9
628,14
627,14
626,13
625,11
624,12
623,10
622,11
621,9
620,5
619,4
618,6
617,11
616,15
615,17
614,14
613,13
612,12
611,12
610,9
609,17
608,13
607,5
606,4
605,13
604,11
603,10
602,12
601,12
600,12
599,11
598,13
597,14
596,10
595,5
594,4
593,4
592,9
591,12
590,14
589,13
588,12
587,12
586,15
585,15
584,15
583,13
582,13
581,4
580,5
579,6
578,9
577,11
576,13
575,11
574,13
573,13
572,9
571,13
570,14
569,7
568,7
567,4
566,4
565,6
564,9
563,15
562,13
561,14
560,12
559,13
558,12
557,13
556,8
555,11
554,9
553,6
552,3
551,7
550,13
549,14
548,15
547,12
546,13
545,14
544,10
543,13
542,11
541,11
540,10
539,8
538,8
537,6
536,11
535,14
534,14
533,16
532,12
531,9
530,8
529,9
528,9
527,10
526,9
525,11
524,11
523,4
522,4
521,11
520,14
519,8
518,12
517,11
516,10
515,12
514,14
513,13
512,12
511,15
510,10
509,11
508,8
507,3
506,5
505,7
504,6
503,13
502,10
501,10
500,14
499,12
498,13
497,8
496,5
495,9
494,7
493,11
492,3
491,5
490,5
489,9
488,10
487,13
486,14
485,10
484,13
483,6
482,4
481,6
480,10
479,1
478,5
477,1
476,3
475,10
474,9
473,10
472,16
471,9
470,4
469,12
468,5
467,3
466,1
465,4
464,13
463,9
462,9
461,15
460,11
459,8
458,7
457,3
456,6
455,11
454,13
453,12
452,7
451,15
450,0
449,8
448,9
447,12
446,14
445,9
444,11
443,7
442,11
441,13
440,14
439,12
438,8
437,6
436,8
435,11
434,12
433,11
432,9
431,5
430,4
429,6
428,11
427,13
426,12
425,11
424,7
423,4
422,10
421,13
420,11
419,9
418,9
417,8
416,5
415,5
414,9
413,12
412,13
411,14
410,8
409,9
408,4
407,3
406,11
405,14
404,14
403,14
402,15
401,8
400,5
399,3
398,8
397,14
396,13
395,16
394,15
393,10
392,2
391,10
390,13
389,10
388,9
387,6
386,8
385,8
384,4
383,5
382,10
381,9
380,14
379,12
378,13
377,11
376,5
375,7
374,11
373,10
372,12
371,12
370,13
369,10
368,6
367,5
366,8
365,14
364,13
363,11
362,9
361,11
360,3
359,7
358,2
357,9
356,13
355,15
354,13
353,13
352,11
351,15
350,10
349,5
348,2
347,9
346,13
345,14
344,10
343,12
342,15
341,9
340,9
339,3
338,4
337,10
336,8
335,15
334,14
333,11
332,12
331,9
330,5
329,2
328,6
327,14
326,14
325,8
324,15
323,11
322,6
321,2
320,5
319,9
318,10
317,12
316,14
315,11
314,10
313,2
312,3
311,3
310,10
309,15
308,11
307,11
306,13
305,6
304,8
303,3
302,5
301,12
300,11
299,8
298,14
297,12
296,6
295,4
294,8
293,13
292,10
291,13
290,14
289,11
288,9
287,4
286,4
285,10
284,9
283,11
282,12
281,10
280,3
279,7
278,14
277,13
276,11
275,11
274,9
273,4
272,6
271,6
270,7
269,12
268,13
267,13
266,10
265,11
264,9
263,3
262,5
261,8
260,7
259,12
258,12
257,15
256,7
255,11
254,10
253,8
252,6
251,5
250,9
249,13
248,13
247,13
246,12
245,13
244,10
243,8
242,3
241,3
240,6
239,10
238,13
237,14
236,9
235,15
234,9
233,11
232,7
231,3
230,3
229,4
228,8
227,10
226,8
225,11
224,12
223,16
222,12
221,12
220,13
219,10
218,9
217,5
216,6
215,8
214,8
213,9
212,14
211,13
210,12
209,11
208,10
207,10
206,17
205,14
204,10
203,4
202,3
201,4
200,8
199,14
198,13
197,12
196,10
195,12
194,14
193,13
192,15
191,9
190,13
189,9
188,13
187,5
186,5
185,1
184,1
183,5
182,11
181,8
180,12
179,9
178,13
177,10
176,12
175,9
174,11
173,11
172,13
171,9
170,12
169,7
168,4
167,0
166,7
165,9
164,13
163,13
162,10
161,14
160,10
159,11
158,16
157,13
156,15
155,17
154,9
153,13
152,9
151,8
150,7
149,8
148,12
147,11
146,12
145,11
144,13
143,11
142,12
141,11
140,17
139,12
138,12
137,14
136,10
135,9
134,2
133,6
132,14
131,12
130,14
129,10
128,13
127,13
126,14
125,11
124,12
123,10
122,12
121,10
120,15
119,7
118,5
117,11
116,10
115,14
114,13
113,10
112,11
111,11
110,16
109,12
108,7
107,10
106,8
105,11
104,15
103,10
102,5
101,4
100,10
99,9
98,15
97,9
96,14
95,9
94,14
93,12
92,11
91,9
90,15
89,11
88,11
87,5
86,3
85,5
84,3
83,13
82,12
81,15
80,12
79,10
78,17
77,12
76,10
75,14
74,12
73,9
72,7
71,7
70,3
69,5
68,9
67,11
66,15
65,14
64,13
63,15
62,16
61,10
60,10
59,12
58,8
57,7
56,8
55,5
54,8
53,7
52,12
51,13
50,11
49,11
48,12
47,14
46,11
45,14
44,4
43,9
42,5
41,3
40,9
39,13
38,15
37,13
36,13
35,12
34,11
33,7
32,8
31,5
30,7
29,5
28,7
27,9
26,12
25,13
24,13
23,7
22,7
21,7
20,5
19,7
18,11
17,8
16,10
15,11
14,6
13,10
12,0
11,3
10,8
9,10
8,10
7,9
6,5
5,3
4,3
3,4
2,1
1,3
0,3
