"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,35241097.295229,0,3,0,0,yes,1.000000
19,,102797716.068924,127936924.218416,0,5,0,0,yes,1.000000
18,,3456201.354849,18242952.986301,0,2,0,0,yes,1.000000
17,,227195960.353977,254768495.282784,0,10,0,0,yes,1.000000
16,,148175890.094612,157928736.218917,0,7,0,0,yes,1.000000
15,,13102763.391318,43162061.839655,0,5,0,0,yes,1.000000
14,,6001996.155702,9630659.573100,0,2,0,0,yes,1.000000
13,,8931772.451034,9686592.766323,0,2,0,0,yes,1.000000
12,,352533215.344209,359810369.707435,0,5,0,0,yes,1.000000
11,,501908512.966683,527405322.945159,0,7,0,0,yes,1.000000
10,,551448418.822755,713990071.359242,0,5,0,0,yes,1.000000
9,,6062635.478561,14936739.910058,0,4,0,0,yes,1.000000
8,,1170071012.657410,1240383049.593144,0,11,0,0,yes,1.000000
7,,376396272.768339,417664366.087383,0,4,0,0,yes,1.000000
6,,283242187.381411,314846433.651338,0,5,0,0,yes,1.000000
5,,501694534.627578,516347271.326337,0,5,0,0,yes,1.000000
4,,145211448.600232,148976801.564414,0,5,0,0,yes,1.000000
3,,746665780.128168,760304208.335603,0,7,0,0,yes,1.000000
2,,213197082.166299,329933607.970801,0,3,0,0,yes,1.000000
1,,111056428.065240,132955140.676659,0,4,0,0,yes,1.000000
