"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,1
644,5
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,1
633,1
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,0
622,2
621,1
620,0
619,0
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,0
610,3
609,6
608,0
607,0
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,0
598,4
597,0
596,0
595,0
594,2
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,4
585,3
584,1
583,0
582,0
581,0
580,0
579,0
578,0
577,0
576,0
575,0
574,0
573,0
572,1
571,0
570,0
569,0
568,0
567,0
566,0
565,0
564,0
563,0
562,0
561,0
560,3
559,2
558,1
557,0
556,0
555,0
554,0
553,3
552,0
551,0
550,0
549,0
548,0
547,1
546,5
545,2
544,0
543,0
542,0
541,0
540,0
539,2
538,1
537,0
536,0
535,2
534,2
533,3
532,4
531,9
530,6
529,8
528,2
527,6
526,1
525,1
524,0
523,0
522,0
521,3
520,2
519,0
518,4
517,1
516,2
515,2
514,0
513,2
512,10
511,1
510,0
509,0
508,0
507,0
506,0
505,2
504,5
503,3
502,1
501,1
500,1
499,8
498,1
497,0
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,0
488,3
487,2
486,2
485,3
484,5
483,3
482,2
481,1
480,0
479,0
478,0
477,0
476,0
475,0
474,2
473,2
472,1
471,3
470,0
469,7
468,1
467,0
466,0
465,0
464,0
463,3
462,1
461,2
460,2
459,0
458,4
457,0
456,0
455,0
454,2
453,1
452,4
451,3
450,2
449,0
448,0
447,4
446,3
445,2
444,0
443,0
442,0
441,0
440,2
439,5
438,2
437,0
436,0
435,0
434,2
433,2
432,3
431,0
430,0
429,0
428,0
427,2
426,4
425,0
424,0
423,0
422,0
421,0
420,2
419,2
418,2
417,4
416,1
415,0
414,0
413,0
412,0
411,1
410,3
409,1
408,3
407,0
406,0
405,0
404,0
403,1
402,1
401,2
400,6
399,0
398,0
397,0
396,0
395,3
394,2
393,4
392,1
391,0
390,0
389,0
388,0
387,4
386,1
385,3
384,1
383,0
382,0
381,0
380,0
379,4
378,1
377,0
376,1
375,0
374,0
373,0
372,0
371,1
370,3
369,2
368,0
367,0
366,0
365,0
364,0
363,1
362,3
361,1
360,3
359,0
358,0
357,0
356,0
355,0
354,0
353,6
352,1
351,3
350,2
349,0
348,0
347,0
346,0
345,0
344,0
343,1
342,2
341,2
340,1
339,2
338,0
337,0
336,0
335,0
334,3
333,1
332,4
331,0
330,3
329,0
328,0
327,0
326,3
325,5
324,2
323,1
322,1
321,0
320,0
319,0
318,0
317,4
316,3
315,2
314,3
313,0
312,0
311,0
310,0
309,0
308,5
307,2
306,0
305,3
304,0
303,0
302,0
301,0
300,1
299,5
298,6
297,1
296,0
295,0
294,0
293,0
292,2
291,1
290,2
289,1
288,3
287,0
286,0
285,0
284,0
283,2
282,2
281,0
280,1
279,0
278,0
277,1
276,2
275,1
274,2
273,2
272,0
271,0
270,0
269,0
268,0
267,7
266,1
265,1
264,2
263,0
262,0
261,0
260,0
259,0
258,0
257,2
256,2
255,1
254,3
253,0
252,0
251,0
250,0
249,0
248,0
247,6
246,6
245,2
244,0
243,9
242,0
241,0
240,0
239,0
238,0
237,0
236,3
235,1
234,2
233,0
232,1
231,1
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,2
222,1
221,2
220,0
219,1
218,3
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,1
209,4
208,3
207,1
206,0
205,0
204,1
203,2
202,0
201,0
200,0
199,0
198,0
197,0
196,0
195,0
194,2
193,3
192,4
191,1
190,0
189,0
188,1
187,1
186,0
185,0
184,0
183,0
182,0
181,0
180,0
179,0
178,0
177,3
176,4
175,1
174,1
173,3
172,0
171,0
170,1
169,3
168,0
167,0
166,0
165,0
164,0
163,0
162,2
161,1
160,1
159,2
158,2
157,3
156,3
155,2
154,0
153,0
152,6
151,0
150,0
149,0
148,0
147,0
146,1
145,3
144,3
143,3
142,1
141,4
140,2
139,2
138,0
137,0
136,4
135,1
134,0
133,0
132,0
131,1
130,9
129,3
128,2
127,0
126,2
125,4
124,3
123,0
122,0
121,0
120,11
119,2
118,0
117,0
116,1
115,2
114,0
113,1
112,2
111,3
110,1
109,2
108,0
107,0
106,0
105,0
104,8
103,3
102,4
101,2
100,1
99,2
98,5
97,1
96,0
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,0
87,1
86,0
85,0
84,0
83,2
82,0
81,3
80,1
79,0
78,0
77,0
76,0
75,0
74,1
73,0
72,4
71,2
70,0
69,5
68,2
67,2
66,1
65,0
64,0
63,0
62,0
61,0
60,0
59,3
58,7
57,2
56,2
55,0
54,0
53,0
52,0
51,1
50,0
49,0
48,0
47,0
46,0
45,0
44,3
43,2
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,2
33,7
32,3
31,0
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,3
22,1
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,5
13,0
12,0
11,0
10,0
9,0
8,0
7,3
6,0
5,0
4,0
3,1
2,5
1,0
0,0
