species,pu,amount
1,1,133320000.0
3,1,60000.0
7,1,4020000.0
18,1,30000.0
23,1,13.620999999999999
26,1,0.010642126461394064
1,2,320000.0
22,2,8.3302
26,2,0.0004929020978969049
1,3,9320000.0
22,3,8.6618
26,3,0.0006458767153405037
3,4,970000.0
25,4,60.361999999999995
26,4,0.0004901326670294928
3,5,3870000.0
11,5,10000.0
24,5,15.702
26,5,0.000506388770579384
3,6,5290000.0
7,6,50860000.0
22,6,7.7194
26,6,0.005935007605826112
3,7,6940000.0
7,7,12800000.0
23,7,13.579
26,7,0.0057036576186051185
1,8,8780000.0
7,8,3620000.0
22,8,7.7926
26,8,0.008525517908874975
1,9,4660000.0
13,9,10000.0
23,9,10.844000000000001
26,9,0.0019869955226252184
1,10,12590000.0
23,10,14.357999999999999
26,10,0.0018827308124841203
1,11,500000.0
7,11,130380000.0
15,11,30000.0
25,11,81.516
26,11,0.02969455717599052
1,12,650000.0
21,12,6.5392
26,12,0.0005891469870123843
1,13,3380000.0
13,13,10000.0
23,13,12.564
26,13,0.00591681861867302
1,14,42870000.0
22,14,9.2043
26,14,0.008099849452165561
1,15,7190000.0
23,15,11.169
26,15,0.0017510371859464947
6,16,780000.0
21,16,6.8135
26,16,0.0007265250695110199
6,17,3950000.0
7,17,3790000.0
23,17,10.139
26,17,0.0017340635794371635
1,18,12350000.0
24,18,21.708000000000002
26,18,0.006512806461238237
6,19,16410000.0
15,19,10000.0
22,19,8.5641
26,19,0.013287857458558188
7,20,10250000.0
15,20,10000.0
21,20,6.495
26,20,0.001109306110010882
7,21,4620000.0
22,21,9.0988
26,21,0.0006692549826984639
6,22,160000.0
15,22,10000.0
22,22,9.5666
26,22,0.0004779418900735324
1,23,2040000.0
22,23,8.5626
26,23,0.007913246423512543
4,24,1000000.0
22,24,8.9177
26,24,0.0004928966822419107
7,25,5620000.0
15,25,10000.0
21,25,6.5915
26,25,0.0010884283680520773
6,26,14170000.0
22,26,7.936
26,26,0.001881706468116174
1,27,55370000.0
26,27,0.012869458771798254
7,28,7300000.0
21,28,5.0027
26,28,0.00657980845646995
7,29,15000000.0
15,29,20000.0
22,29,7.7906
26,29,0.003930931675484243
7,30,1910000.0
23,30,14.332
26,30,0.0007193513452027217
7,31,39700000.0
23,31,14.102
26,31,0.015295112987580285
1,32,21580000.0
24,32,16.326
26,32,0.0010146551166373614
1,33,3670000.0
7,33,148310000.0
23,33,13.468
26,33,0.015144890165356514
6,34,6100000.0
24,34,19.915
26,34,0.001848659375369531
1,35,11740000.0
23,35,14.852
26,35,0.001993971582504786
6,36,1310000.0
23,36,12.550999999999998
26,36,0.0005348355743177527
1,37,22020000.0
23,37,10.039
26,37,0.004132401149656378
7,38,810000.0
15,38,10000.0
22,38,8.4154
26,38,0.0006767537919925808
7,39,10880000.0
23,39,12.17
26,39,0.0066171314650001365
7,40,11100000.0
23,40,14.079
26,40,0.00207481306811931
6,41,590000.0
22,41,7.6762
26,41,0.0005322268465757317
4,42,510000.0
23,42,10.345999999999998
26,42,0.0004827148521752941
4,43,680000.0
24,43,18.384
26,43,0.0005010117376247829
4,44,560000.0
21,44,6.7612
26,44,0.0005367176056018597
1,45,19850000.0
24,45,18.454
26,45,0.004473190950471232
6,46,1040000.0
23,46,14.458
26,46,0.0009038127540835911
6,47,3910000.0
21,47,6.0431
26,47,0.0025391985050370936
4,48,640000.0
21,48,5.4875
26,48,0.0005359970902604077
6,49,900000.0
22,49,7.4501
26,49,0.0005797699253033212
7,50,1160000.0
21,50,5.9987
26,50,0.0016585244051228781
6,51,1610000.0
15,51,10000.0
26,51,0.0019567571956814163
1,52,13480000.0
13,52,20000.0
21,52,6.4603
26,52,0.003980840263191046
6,53,1060000.0
26,53,0.0005951484232863504
6,54,70000.0
21,54,5.4256
26,54,0.0005080828913932267
6,55,80000.0
26,55,0.0004885355966676317
6,56,370000.0
22,56,9.0915
26,56,0.0006101103550764053
6,57,570000.0
22,57,8.5508
26,57,0.0005932869957030578
6,58,70000.0
21,58,5.0356
26,58,0.0005008494960424866
6,59,320000.0
21,59,5.0
26,59,0.0005522517667221187
1,60,10290000.0
22,60,9.3991
26,60,0.004035717405632422
4,61,3280000.0
24,61,18.055999999999997
26,61,0.0008157134413684266
1,62,6820000.0
22,62,7.4775
26,62,0.008469176873807098
6,63,1110000.0
22,63,7.5019
26,63,0.000508561683610965
7,64,490000.0
21,64,5.9356
26,64,0.0005642084713352181
1,65,1000000.0
26,65,0.0035849502985541254
1,66,101070000.0
7,66,370000.0
13,66,20000.0
21,66,6.8459
26,66,0.01963612621693605
7,67,8560000.0
21,67,5.0
26,67,0.001290117646851164
7,68,11960000.0
21,68,6.4759
26,68,0.0014963297434539534
7,69,680000.0
21,69,5.9562
26,69,0.0005178457262519444
4,70,250000.0
21,70,5.0
26,70,0.00047588427702126756
6,71,40000.0
26,71,0.0004709697004559192
6,72,100000.0
24,72,20.0
26,72,0.0004769760535007311
7,73,190000.0
23,73,13.857999999999999
26,73,0.00047931068432099054
6,74,420000.0
23,74,10.318
26,74,0.0004884057240517921
7,75,720000.0
22,75,8.4053
26,75,0.0005623272681302891
6,76,9950000.0
23,76,10.124
26,76,0.006248770871097183
7,77,4570000.0
22,77,7.3968
26,77,0.0012182340054297932
6,78,3080000.0
14,78,10000.0
24,78,26.239
26,78,0.005481685071488066
4,79,130000.0
24,79,20.136
26,79,0.00047597699070928753
4,80,110000.0
25,80,35.13
26,80,0.00047379360982411305
7,81,5410000.0
14,81,10000.0
21,81,6.6823
26,81,0.0014037849531340649
6,82,180000.0
24,82,29.458000000000002
26,82,0.0004733979511341311
7,83,1180000.0
24,83,22.616999999999997
26,83,0.0007106720207315692
7,84,1190000.0
23,84,11.505
26,84,0.0018792951134653617
7,85,4960000.0
24,85,25.42
26,85,0.003137333863009024
7,86,10640000.0
24,86,25.316
26,86,0.00401211052938429
1,87,1240000.0
23,87,14.675
26,87,0.0020013404164453295
4,88,70000.0
23,88,13.338
26,88,0.000469655502183067
1,89,2060000.0
23,89,11.87
26,89,0.0024704248451442763
1,90,19110000.0
19,90,10000.0
24,90,15.277000000000001
26,90,0.006984509994471441
7,91,290000.0
24,91,18.561
26,91,0.0004898143373657695
6,92,1350000.0
25,92,32.281
26,92,0.0005462184660724157
1,93,2370000.0
21,93,6.9211
26,93,0.0030036122578447613
1,94,15040000.0
23,94,14.294
26,94,0.0058322310910156735
7,95,7990000.0
21,95,6.8559
26,95,0.0022839284004405242
7,96,2100000.0
22,96,8.4835
26,96,0.001505751226437585
7,97,2030000.0
22,97,7.4982
26,97,0.0008484538141528707
7,98,3290000.0
21,98,5.1066
26,98,0.0011197775751424501
4,99,300000.0
22,99,7.8885
