"planning_unit","number"
321,3
320,3
319,11
318,0
317,3
316,0
315,6
314,1
313,1
312,0
311,0
310,1
309,0
308,2
307,0
306,3
305,2
304,10
303,0
302,0
301,2
300,0
299,2
298,0
297,0
296,1
295,3
294,0
293,3
292,0
291,0
290,0
289,1
288,1
287,0
286,1
285,0
284,0
283,0
282,0
281,2
280,1
279,3
278,0
277,3
276,4
275,1
274,0
273,1
272,7
271,1
270,5
269,1
268,0
267,0
266,0
265,0
264,1
263,0
262,1
261,7
260,0
259,0
258,0
257,0
256,1
255,1
254,1
253,0
252,0
251,1
250,0
249,1
248,1
247,9
246,0
245,0
244,0
243,0
242,1
241,1
240,2
239,0
238,0
237,0
236,0
235,0
234,0
233,0
232,0
231,0
230,4
229,0
228,2
227,0
226,0
225,0
224,1
223,0
222,0
221,5
220,0
219,0
218,0
217,2
216,0
215,1
214,1
213,0
212,0
211,0
210,0
209,0
208,1
207,0
206,1
205,2
204,0
203,0
202,3
201,0
200,0
199,0
198,2
197,1
196,1
195,0
194,0
193,0
192,1
191,0
190,1
189,4
188,1
187,18
186,1
185,18
184,0
183,0
182,4
181,4
180,0
179,0
178,0
177,0
176,1
175,2
174,0
173,0
172,0
171,1
170,0
169,0
168,0
167,1
166,0
165,0
164,1
163,0
162,1
161,0
160,0
159,1
158,0
157,0
156,0
155,0
154,0
153,1
152,0
151,0
150,0
149,4
148,0
147,1
146,0
145,0
144,3
143,1
142,0
141,0
140,2
139,0
138,0
137,5
136,1
135,0
134,1
133,0
132,0
131,0
130,2
129,3
128,0
127,0
126,0
125,0
124,2
123,0
122,3
121,0
120,5
119,0
118,0
117,0
116,0
115,0
114,10
113,0
112,0
111,1
110,0
109,0
108,0
107,0
106,0
105,2
104,3
103,0
102,0
101,4
100,1
99,0
98,0
97,1
96,0
95,3
94,0
93,0
92,1
91,0
90,3
89,0
88,0
87,0
86,4
85,1
84,0
83,0
82,0
81,3
80,0
79,0
78,1
77,2
76,2
75,0
74,0
73,0
72,0
71,0
70,0
69,0
68,6
67,1
66,15
65,0
64,0
63,0
62,0
61,9
60,0
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,0
51,0
50,0
49,1
48,0
47,2
46,0
45,0
44,1
43,1
42,1
41,0
40,0
39,0
38,0
37,0
36,2
35,0
34,1
33,0
32,0
31,3
30,0
29,0
28,0
27,2
26,6
25,0
24,2
23,0
22,0
21,2
20,2
19,6
18,0
17,2
16,0
15,0
14,3
13,0
12,0
11,2
10,0
9,1
8,0
7,9
6,2
5,0
4,0
3,1
2,0
1,5
