"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,21.278885,18.000000,18,3.278885,36.066204,4.332940,6.833931,24.899333,0.120139,0.000000,140952.526378,16,0.000000
2,24.021873,21.000000,21,3.021873,36.066204,4.222023,7.823247,24.020935,0.117063,0.000000,140952.526378,16,0.000000
3,19.064499,17.000000,17,2.064499,36.066204,8.063625,7.184193,20.818386,0.223578,0.000000,140952.526378,16,0.000000
4,20.085577,17.000000,17,3.085577,36.066204,5.253944,6.858004,23.954256,0.145675,0.000000,140952.526378,16,0.000000
5,19.445813,17.000000,17,2.445813,36.066204,4.423311,6.680934,24.961959,0.122644,0.000000,140952.526378,16,0.000000
6,18.480749,15.000000,15,3.480749,36.066204,5.215283,8.074172,22.776750,0.144603,0.000000,140952.526378,16,0.000000
7,21.906698,18.000000,18,3.906698,36.066204,4.315317,8.224064,23.526823,0.119650,0.000000,140952.526378,16,0.000000
8,16.414535,14.000000,14,2.414535,36.066204,4.535919,6.223259,25.307027,0.125766,0.000000,140952.526378,16,0.000000
9,24.676659,20.000000,20,4.676659,36.066204,5.373736,8.827132,21.865336,0.148996,0.000000,140952.526378,16,0.000000
10,24.346045,19.000000,19,5.346045,36.066204,4.406039,9.793563,21.866603,0.122165,0.000000,140952.526378,16,0.000000
11,22.885298,19.000000,19,3.885298,36.066204,4.299919,7.987478,23.778808,0.119223,0.000000,140952.526378,16,0.000000
12,22.123618,18.000000,18,4.123618,36.066204,6.640797,10.473395,18.952012,0.184128,0.000000,140952.526378,16,0.000000
13,20.159012,17.000000,17,3.159012,36.066204,0.117595,5.141020,30.807590,0.003261,0.000000,140952.526378,16,0.000000
14,24.024891,21.000000,21,3.024891,36.066204,5.517939,6.500531,24.047734,0.152995,0.000000,140952.526378,16,0.000000
15,16.037932,12.000000,12,4.037932,36.066204,6.503568,9.058297,20.504340,0.180323,0.000000,140952.526378,16,0.000000
16,26.815405,23.000000,23,3.815405,36.066204,4.214535,8.104623,23.747046,0.116856,0.000000,140952.526378,16,0.000000
17,29.175952,26.000000,26,3.175952,36.066204,5.925716,6.748238,23.392250,0.164301,0.000000,140952.526378,16,0.000000
18,21.470002,18.000000,18,3.470002,36.066204,0.440557,9.524766,26.100882,0.012215,0.000000,140952.526378,16,0.000000
19,18.950679,16.000000,16,2.950679,36.066204,10.348092,9.219279,16.498834,0.286919,0.000000,140952.526378,16,0.000000
20,24.998793,22.000000,22,2.998793,36.066204,4.260933,7.424524,24.380748,0.118142,0.000000,140952.526378,16,0.000000
