"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,24.000000,24.000000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
2,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
3,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
4,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
5,22.000000,22.000000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
6,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
7,14.000000,14.000000,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
8,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
9,13.000000,13.000000,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
10,22.000000,22.000000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
11,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
12,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
13,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
14,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
15,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
16,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
17,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
18,22.000000,22.000000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
19,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
20,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
