"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,25471138.096834,0,6,0,0,yes,1.000000
19,,102797716.068924,109406813.650162,0,5,0,0,yes,1.000000
18,,3456201.354849,16236039.745437,0,2,0,0,yes,1.000000
17,,227195960.353977,239930155.493874,0,8,0,0,yes,1.000000
16,,148175890.094612,160242255.398814,0,6,0,0,yes,1.000000
15,,13102763.391318,40114813.767870,0,5,0,0,yes,1.000000
14,,6001996.155702,19701280.545780,0,5,0,0,yes,1.000000
13,,8931772.451034,9786459.141128,0,2,0,0,yes,1.000000
12,,352533215.344209,356459067.108264,0,7,0,0,yes,1.000000
11,,501908512.966683,634153775.901191,0,6,0,0,yes,1.000000
10,,551448418.822755,570209900.802888,0,5,0,0,yes,1.000000
9,,6062635.478561,9250977.382015,0,2,0,0,yes,1.000000
8,,1170071012.657410,1221819778.851366,0,11,0,0,yes,1.000000
7,,376396272.768339,464739176.661878,0,4,0,0,yes,1.000000
6,,283242187.381411,380577990.959908,0,4,0,0,yes,1.000000
5,,501694534.627578,502220297.218314,0,5,0,0,yes,1.000000
4,,145211448.600232,195952797.690859,0,3,0,0,yes,1.000000
3,,746665780.128168,783829805.339582,0,10,0,0,yes,1.000000
2,,213197082.166299,288173629.803489,0,2,0,0,yes,1.000000
1,,111056428.065240,125123133.517786,0,5,0,0,yes,1.000000
