"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,45252745.795993,0,6,0,0,yes,1.000000
19,,102797716.068924,104564295.245986,0,4,0,0,yes,1.000000
18,,3456201.354849,27486471.071823,0,2,0,0,yes,1.000000
17,,227195960.353977,248140885.523797,0,9,0,0,yes,1.000000
16,,148175890.094612,158865288.244298,0,5,0,0,yes,1.000000
15,,13102763.391318,19467602.717383,0,4,0,0,yes,1.000000
14,,6001996.155702,8965359.087849,0,2,0,0,yes,1.000000
13,,8931772.451034,12924946.243310,0,3,0,0,yes,1.000000
12,,352533215.344209,400341704.328703,0,7,0,0,yes,1.000000
11,,501908512.966683,593658648.832810,0,7,0,0,yes,1.000000
10,,551448418.822755,572427617.579733,0,5,0,0,yes,1.000000
9,,6062635.478561,13610192.863695,0,2,0,0,yes,1.000000
8,,1170071012.657410,1192252503.972266,0,11,0,0,yes,1.000000
7,,376396272.768339,383247120.983895,0,4,0,0,yes,1.000000
6,,283242187.381411,357406930.616523,0,4,0,0,yes,1.000000
5,,501694534.627578,555785078.920927,0,6,0,0,yes,1.000000
4,,145211448.600232,174235294.844881,0,3,0,0,yes,1.000000
3,,746665780.128168,782831598.560254,0,11,0,0,yes,1.000000
2,,213197082.166299,257890217.520219,0,2,0,0,yes,1.000000
1,,111056428.065240,125651809.050121,0,3,0,0,yes,1.000000
