"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,5
644,4
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,1
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,1
622,3
621,2
620,0
619,0
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,0
610,2
609,2
608,0
607,0
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,1
598,2
597,1
596,0
595,0
594,2
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,0
585,1
584,1
583,0
582,0
581,0
580,0
579,0
578,0
577,0
576,0
575,0
574,1
573,1
572,1
571,0
570,0
569,0
568,0
567,3
566,0
565,0
564,0
563,0
562,0
561,3
560,5
559,1
558,0
557,0
556,0
555,0
554,0
553,2
552,0
551,0
550,0
549,0
548,0
547,2
546,2
545,0
544,0
543,0
542,0
541,0
540,0
539,2
538,2
537,0
536,2
535,4
534,6
533,0
532,2
531,6
530,8
529,7
528,0
527,7
526,0
525,0
524,0
523,2
522,0
521,3
520,0
519,5
518,2
517,3
516,4
515,3
514,3
513,0
512,5
511,3
510,0
509,0
508,1
507,0
506,0
505,1
504,2
503,5
502,0
501,1
500,1
499,6
498,1
497,0
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,0
488,5
487,2
486,3
485,2
484,6
483,3
482,3
481,3
480,0
479,0
478,0
477,0
476,0
475,0
474,3
473,4
472,2
471,0
470,1
469,7
468,3
467,0
466,0
465,0
464,0
463,2
462,1
461,1
460,0
459,2
458,2
457,0
456,0
455,1
454,0
453,0
452,3
451,1
450,2
449,0
448,0
447,0
446,3
445,2
444,2
443,0
442,0
441,0
440,0
439,2
438,1
437,0
436,0
435,0
434,4
433,3
432,2
431,2
430,0
429,0
428,0
427,4
426,3
425,1
424,2
423,0
422,0
421,0
420,0
419,1
418,5
417,2
416,2
415,0
414,0
413,0
412,0
411,0
410,4
409,7
408,2
407,0
406,0
405,0
404,0
403,0
402,2
401,1
400,5
399,0
398,0
397,0
396,0
395,2
394,2
393,4
392,0
391,0
390,0
389,0
388,0
387,3
386,2
385,1
384,0
383,0
382,0
381,0
380,0
379,6
378,2
377,1
376,2
375,0
374,0
373,0
372,0
371,1
370,6
369,1
368,3
367,0
366,0
365,0
364,0
363,0
362,3
361,4
360,1
359,1
358,0
357,0
356,0
355,0
354,0
353,4
352,1
351,1
350,6
349,0
348,0
347,0
346,0
345,0
344,1
343,3
342,0
341,2
340,2
339,4
338,0
337,0
336,0
335,1
334,4
333,2
332,2
331,3
330,0
329,0
328,0
327,0
326,4
325,2
324,1
323,1
322,4
321,1
320,0
319,0
318,0
317,3
316,6
315,0
314,0
313,4
312,0
311,0
310,0
309,0
308,8
307,6
306,5
305,3
304,1
303,0
302,0
301,0
300,3
299,1
298,4
297,3
296,1
295,0
294,0
293,0
292,1
291,1
290,2
289,0
288,0
287,0
286,0
285,0
284,0
283,3
282,2
281,1
280,4
279,0
278,0
277,0
276,3
275,6
274,0
273,1
272,0
271,0
270,0
269,0
268,0
267,4
266,3
265,0
264,0
263,0
262,0
261,0
260,0
259,0
258,0
257,4
256,5
255,0
254,2
253,1
252,0
251,0
250,0
249,0
248,0
247,2
246,1
245,2
244,0
243,6
242,0
241,0
240,0
239,0
238,0
237,0
236,4
235,0
234,2
233,0
232,0
231,1
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,7
222,2
221,3
220,0
219,0
218,5
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,0
209,2
208,4
207,4
206,0
205,0
204,1
203,2
202,0
201,0
200,0
199,0
198,0
197,0
196,0
195,0
194,3
193,2
192,3
191,2
190,0
189,0
188,2
187,4
186,0
185,0
184,0
183,0
182,0
181,0
180,0
179,0
178,0
177,1
176,1
175,0
174,2
173,3
172,1
171,0
170,2
169,3
168,2
167,0
166,0
165,0
164,0
163,0
162,2
161,3
160,2
159,0
158,0
157,2
156,3
155,1
154,0
153,1
152,4
151,1
150,0
149,0
148,0
147,0
146,1
145,3
144,4
143,3
142,2
141,1
140,2
139,2
138,0
137,0
136,2
135,2
134,0
133,0
132,0
131,2
130,4
129,4
128,0
127,4
126,1
125,0
124,0
123,0
122,0
121,0
120,11
119,1
118,0
117,0
116,1
115,3
114,1
113,3
112,3
111,1
110,1
109,2
108,0
107,0
106,0
105,0
104,8
103,4
102,4
101,5
100,1
99,4
98,0
97,1
96,2
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,1
87,2
86,0
85,0
84,3
83,1
82,3
81,1
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,0
72,2
71,2
70,0
69,4
68,2
67,1
66,1
65,0
64,0
63,0
62,0
61,0
60,0
59,2
58,5
57,5
56,4
55,0
54,0
53,1
52,0
51,0
50,0
49,0
48,0
47,0
46,0
45,1
44,1
43,4
42,0
41,0
40,0
39,0
38,1
37,0
36,0
35,0
34,0
33,3
32,0
31,1
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,2
22,1
21,0
20,0
19,0
18,0
17,0
16,0
15,1
14,2
13,0
12,0
11,0
10,0
9,0
8,0
7,4
6,1
5,0
4,0
3,0
2,6
1,2
0,0
