"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,51.976038,37.000000,37,14.976038,123.157352,0.697254,14.976038,107.484061,0.005661,0.000000,0.000000,0,1.000000
2,48.846112,35.000000,35,13.846112,123.157352,0.702992,13.846112,108.608248,0.005708,0.000000,0.000000,0,1.000000
3,48.843480,35.000000,35,13.843480,123.157352,0.577356,13.843480,108.736517,0.004688,0.000000,0.000000,0,1.000000
4,49.277261,35.000000,35,14.277261,123.157352,0.549702,14.277261,108.330389,0.004463,0.000000,0.000000,0,1.000000
5,51.446483,36.000000,36,15.446483,123.157352,0.712061,15.446483,106.998808,0.005782,0.000000,0.000000,0,1.000000
6,49.339719,35.000000,35,14.339719,123.157352,0.665992,14.339719,108.151641,0.005408,0.000000,0.000000,0,1.000000
7,50.327776,36.000000,36,14.327776,123.157352,0.602239,14.327776,108.227338,0.004890,0.000000,0.000000,0,1.000000
8,51.721794,36.000000,36,15.721794,123.157352,0.651291,15.721794,106.784267,0.005288,0.000000,0.000000,0,1.000000
9,48.857682,35.000000,35,13.857682,123.157352,0.984488,13.857682,108.315183,0.007994,0.000000,0.000000,0,1.000000
10,52.359660,37.000000,37,15.359660,123.157352,0.753151,15.359660,107.044541,0.006115,0.000000,0.000000,0,1.000000
11,51.954831,37.000000,37,14.954831,123.157352,0.824107,14.954831,107.378415,0.006691,0.000000,0.000000,0,1.000000
12,47.570218,33.000000,33,14.570218,123.157352,0.513898,14.570218,108.073236,0.004173,0.000000,0.000000,0,1.000000
13,51.974362,37.000000,37,14.974362,123.157352,0.615420,14.974362,107.567571,0.004997,0.000000,0.000000,0,1.000000
14,49.816581,35.000000,35,14.816581,123.157352,0.608279,14.816581,107.732492,0.004939,0.000000,0.000000,0,1.000000
15,49.841220,35.000000,35,14.841220,123.157352,0.734875,14.841220,107.581258,0.005967,0.000000,0.000000,0,1.000000
16,51.219788,36.000000,36,15.219788,123.157352,0.654840,15.219788,107.282724,0.005317,0.000000,0.000000,0,1.000000
17,51.347825,36.000000,36,15.347825,123.157352,0.724246,15.347825,107.085282,0.005881,0.000000,0.000000,0,1.000000
18,52.882862,37.000000,37,15.882862,123.157352,0.615831,15.882862,106.658659,0.005000,0.000000,0.000000,0,1.000000
19,50.931132,36.000000,36,14.931132,123.157352,0.804083,14.931132,107.422138,0.006529,0.000000,0.000000,0,1.000000
20,49.598509,35.000000,35,14.598509,123.157352,0.915302,14.598509,107.643541,0.007432,0.000000,0.000000,0,1.000000
