"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,24389603.965587,0,4,0,0,yes,1.000000
19,,102797716.068924,114209500.200730,0,7,0,0,yes,1.000000
18,,3456201.354849,15185179.406914,0,1,0,0,yes,1.000000
17,,227195960.353977,237055975.019689,0,7,0,0,yes,1.000000
16,,148175890.094612,184375143.215078,0,6,0,0,yes,1.000000
15,,13102763.391318,31823724.928230,0,3,0,0,yes,1.000000
14,,6001996.155702,18672331.416648,0,3,0,0,yes,1.000000
13,,8931772.451034,13241962.566513,0,2,0,0,yes,1.000000
12,,352533215.344209,393702686.872865,0,6,0,0,yes,1.000000
11,,501908512.966683,502438999.340994,0,7,0,0,yes,1.000000
10,,551448418.822755,617200925.005267,0,4,0,0,yes,1.000000
9,,6062635.478561,11850486.616244,0,2,0,0,yes,1.000000
8,,1170071012.657410,1181924187.598421,0,11,0,0,yes,1.000000
7,,376396272.768339,490611388.439159,0,3,0,0,yes,1.000000
6,,283242187.381411,293452814.917460,0,3,0,0,yes,1.000000
5,,501694534.627578,505376220.779445,0,6,0,0,yes,1.000000
4,,145211448.600232,198388989.541041,0,3,0,0,yes,1.000000
3,,746665780.128168,780979396.299026,0,8,0,0,yes,1.000000
2,,213197082.166299,272241473.317011,0,3,0,0,yes,1.000000
1,,111056428.065240,124218125.153141,0,4,0,0,yes,1.000000
