,FID,geometry,best_solution,select_freq
0,0,"POLYGON ((147.5793132786925 -19.77419400918118, 147.6502863937548 -19.73676465208617, 147.7202500171852 -19.77584033890652, 147.7192759860077 -19.85237547682075, 147.6482642226311 -19.8898340912883, 147.5782651404232 -19.850728295394, 147.5793132786925 -19.77419400918118))",0,0
1,1,"POLYGON ((147.7202500171852 -19.77584033890652, 147.7911876709864 -19.73835022835877, 147.8611898259338 -19.77736598063496, 147.8602899066942 -19.85390190783117, 147.7893137190152 -19.89142130854614, 147.7192759860077 -19.85237547682075, 147.7202500171852 -19.77584033890652))",0,2
2,2,"POLYGON ((147.8611898259338 -19.77736598063496, 147.9320918993754 -19.73981514591943, 148.0021324713886 -19.77877093063451, 148.0013066685647 -19.85530758468758, 147.9303661758807 -19.89288774224721, 147.8602899066942 -19.85390190783117, 147.8611898259338 -19.77736598063496))",1,6
3,3,"POLYGON ((148.0021324713886 -19.77877093063451, 148.0729988455415 -19.74115940118642, 148.1430777199715 -19.78005518546832, 148.1423260376725 -19.85659250394774, 148.0714213591104 -19.89423338879901, 148.0013066685647 -19.85530758468758, 148.0021324713886 -19.77877093063451))",0,0
4,4,"POLYGON ((148.1430777199715 -19.78005518546832, 148.2139082760776 -19.74238299087286, 148.2840253380786 -19.78121874199447, 148.2833477800451 -19.85775666246516, 148.2124790345598 -19.89545824490454, 148.1423260376725 -19.85659250394774, 148.1430777199715 -19.78005518546832))",0,0
5,5,"POLYGON ((148.2840253380786 -19.78121874199447, 148.3548199575518 -19.74348591198697, 148.4249750920827 -19.78226159736658, 148.4243716616864 -19.85880005738888, 148.3535389680596 -19.89656230756284, 148.2833477800451 -19.85775666246516, 148.2840253380786 -19.78121874199447))",0,0
6,6,"POLYGON ((147.5104717813244 -19.65852359290698, 147.5814062531869 -19.62112345640124, 147.6512958862232 -19.66022894242634, 147.6502863937548 -19.73676465208617, 147.5793132786925 -19.77419400918118, 147.5093883010312 -19.73505842097818, 147.5104717813244 -19.65852359290698))",0,1
7,7,"POLYGON ((147.6512958862232 -19.66022894242634, 147.7221950108932 -19.62276808527069, 147.7921231706156 -19.66181369943356, 147.7911876709864 -19.73835022835877, 147.7202500171852 -19.77584033890652, 147.6502863937548 -19.73676465208617, 147.6512958862232 -19.66022894242634))",0,4
8,8,"POLYGON ((147.7921231706156 -19.66181369943356, 147.8629868291933 -19.62429215079566, 147.9329534015178 -19.66327786005785, 147.9320918993754 -19.73981514591943, 147.8611898259338 -19.77736598063496, 147.7911876709864 -19.73835022835877, 147.7921231706156 -19.66181369943356))",0,0
9,9,"POLYGON ((147.9329534015178 -19.66327786005785, 148.0037814752721 -19.62569564925539, 148.0737863459172 -19.66462142072299, 148.0729988455415 -19.74115940118642, 148.0021324713886 -19.77877093063451, 147.9320918993754 -19.73981514591943, 147.9329534015178 -19.66327786005785))",0,0
10,10,"POLYGON ((148.0737863459172 -19.66462142072299, 148.1445787162867 -19.62697857722345, 148.2146217707741 -19.66584437814714, 148.2139082760776 -19.74238299087286, 148.1430777199715 -19.78005518546832, 148.0729988455415 -19.74115940118642, 148.0737863459172 -19.66462142072299))",0,0
11,11,"POLYGON ((148.2146217707741 -19.66584437814714, 148.285378319368 -19.62814093156765, 148.3554594430242 -19.66694672934286, 148.3548199575518 -19.74348591198697, 148.2840253380786 -19.78121874199447, 148.2139082760776 -19.74238299087286, 148.2146217707741 -19.66584437814714))",0,0
12,12,"POLYGON ((148.3554594430242 -19.66694672934286, 148.4261800516238 -19.62918270945004, 148.4962991295807 -19.6679284716175, 148.4957336565098 -19.74446816183175, 148.4249750920827 -19.78226159736658, 148.3548199575518 -19.74348591198697, 148.3554594430242 -19.66694672934286))",0,0
13,13,"POLYGON ((147.4417394973072 -19.54282291726729, 147.5126353312517 -19.50545196463019, 147.5824510928775 -19.54458719408213, 147.5814062531869 -19.62112345640124, 147.5104717813244 -19.65852359290698, 147.4406207888589 -19.61935826820209, 147.4417394973072 -19.54282291726729))",0,0
14,14,"POLYGON ((147.5824510928775 -19.54458719408213, 147.6533116933313 -19.50715555360592, 147.7231659766443 -19.54623097379425, 147.7221950108932 -19.62276808527069, 147.6512958862232 -19.66022894242634, 147.5814062531869 -19.62112345640124, 147.5824510928775 -19.54458719408213))",0,2
15,15,"POLYGON ((147.7231659766443 -19.54623097379425, 147.7939912249065 -19.50873867452973, 147.8638839161889 -19.54775425239498, 147.8629868291933 -19.62429215079566, 147.7921231706156 -19.66181369943356, 147.7221950108932 -19.62276808527069, 147.7231659766443 -19.54623097379425))",0,1
16,16,"POLYGON ((147.8638839161889 -19.54775425239498, 147.9346736937261 -19.51020132354266, 148.0046046790627 -19.54915702616923, 148.0037814752721 -19.62569564925539, 147.9329534015178 -19.66327786005785, 147.8629868291933 -19.62429215079566, 147.8638839161889 -19.54775425239498))",0,0
17,17,"POLYGON ((148.0046046790627 -19.54915702616923, 148.0753588675099 -19.51154349707921, 148.1453280327887 -19.55043929169578, 148.1445787162867 -19.62697857722345, 148.0737863459172 -19.66462142072299, 148.0037814752721 -19.62569564925539, 148.0046046790627 -19.54915702616923))",0,0
18,18,"POLYGON ((148.1453280327887 -19.55043929169578, 148.2160465139508 -19.51276519186763, 148.2860537448646 -19.55160104584719, 148.285378319368 -19.62814093156765, 148.2146217707741 -19.66584437814714, 148.1445787162867 -19.62697857722345, 148.1453280327887 -19.55043929169578))",0,0
19,19,"POLYGON ((148.2860537448646 -19.55160104584719, 148.3567364007172 -19.5138664049295, 148.4267815827644 -19.5526422857898, 148.4261800516238 -19.62918270945004, 148.3554594430242 -19.66694672934286, 148.285378319368 -19.62814093156765, 148.2860537448646 -19.55160104584719))",0,0
20,20,"POLYGON ((147.0919288893916 -19.42308464607274, 147.162855975009 -19.38586423689079, 147.2325206117034 -19.42514854778609, 147.2312930444244 -19.50168339942583, 147.1603271002647 -19.53893288983264, 147.0906275840129 -19.49961843238225, 147.0919288893916 -19.42308464607274))",0,0
21,21,"POLYGON ((147.2325206117034 -19.42514854778609, 147.3034128146648 -19.3878674261645, 147.3731161939888 -19.42709205690188, 147.3719623708874 -19.50362791175484, 147.3010314223193 -19.54093814765213, 147.2312930444244 -19.50168339942583, 147.2325206117034 -19.42514854778609))",0,0
