species,pu,amount
1,1,133320000.0
3,1,60000.0
7,1,4020000.0
18,1,30000.0
23,1,13.620999999999999
26,1,166.0
27,1,1.487428085834483
28,1,4.405190107571572
29,1,0.035536775966266226
30,1,0.010642126461394053
31,1,16.07863786524589
32,1,16.07863786524589
33,1,166.0
34,1,45.53766353579954
35,1,4.405190107571572
36,1,0.9999999999999845
37,1,17.07520143779601
38,1,0.009994142051938056
1,2,320000.0
22,2,8.3302
26,2,134.0
27,2,0.015151515151515152
28,2,0.04485993446858918
29,2,3.2411417631393807e-06
30,2,0.0004929020978969048
31,2,0.12097083944231075
32,2,0.12097083944231075
33,2,134.0
34,2,49.89798396323053
35,2,0.04485993446858918
36,2,0.9999999999999843
37,2,33.03286608288351
38,2,1.2019235732027525e-06
1,3,9320000.0
22,3,8.6618
26,3,133.0
28,3,0.21837793740295575
29,3,0.004905519724758974
30,3,0.0006458767153405036
31,3,1.167658061593385
32,3,1.167658061593385
33,3,133.0
34,3,49.724466386073715
35,3,0.21837793740295575
36,3,0.9999999999999858
37,3,31.986179443677578
38,3,0.0009211143908826853
3,4,970000.0
25,4,60.361999999999995
26,4,157.0
27,4,0.7896225795067373
28,4,0.02258771991858033
29,4,0.0001781185354882389
30,4,0.0004901326670294927
31,4,0.17549011337747641
32,4,0.17549011337747641
33,4,157.0
34,4,49.92025621690297
35,4,0.02258771991858033
36,4,0.9999999999999885
37,4,32.978346878708656
38,4,2.2929588431447845e-05
3,5,3870000.0
11,5,10000.0
24,5,15.702
26,5,152.0
27,5,0.5663755926311431
28,5,0.027798450879633
29,5,0.009680493145327094
30,5,0.000506388770579384
31,5,0.4301650142525257
32,5,0.4301650142525257
33,5,152.0
34,5,49.91504564673068
35,5,0.027798450879633
36,5,0.9999999999999869
37,5,32.72367254237907
38,5,0.0006312965294057483
3,6,5290000.0
7,6,50860000.0
22,6,7.7194
26,6,162.0
27,6,1.0866180452424663
28,6,4.781107041652087
29,6,0.0024486604857756958
30,6,0.005935007605826132
31,6,4.858503842695837
32,6,4.858503842695837
33,6,162.0
34,6,45.16174071426742
35,6,4.781107041652087
36,6,1.0
37,6,28.295333710297196
38,6,0.002409746901888106
3,7,6940000.0
7,7,12800000.0
23,7,13.579
26,7,162.0
27,7,1.0866180452424663
28,7,4.973766585193948
29,7,0.0001674634016148971
30,7,0.0057036576186051385
31,7,4.6970070886471325
32,7,4.6970070886471325
33,7,162.0
34,7,44.96907862929059
35,7,4.973766585193948
36,7,1.0
37,7,28.45683003580845
38,7,0.00017732901756203995
1,8,8780000.0
7,8,3620000.0
22,8,7.7926
26,8,164.0
27,8,1.2706948732915146
28,8,2.8540676603301804
29,8,5.329141797320236e-05
30,8,0.008525517908874965
31,8,7.178143092617495
32,8,7.178143092617495
33,8,164.0
34,8,47.08877707911284
35,8,2.8540676603301804
36,8,0.9999999999999849
37,8,25.97569389837309
38,8,2.118962989506283e-05
1,9,4660000.0
13,9,10000.0
23,9,10.844000000000001
26,9,167.0
27,9,1.645168529463033
28,9,1.5144879833442562
29,9,8.700353533011778e-06
30,9,0.001986995522625217
31,9,0.768352449622863
32,9,0.768352449622863
33,9,167.0
34,9,48.4283562466492
35,9,1.5144879833442562
36,9,0.9999999999999842
37,9,32.385484492769
38,9,1.714899140092791e-05
1,10,12590000.0
23,10,14.357999999999999
26,10,170.0
27,10,2.2300609739713777
28,10,0.7789489152760887
29,10,0.00012078403092734662
30,10,0.001882730812484119
31,10,0.3096612502202043
32,10,0.3096612502202043
33,10,170.0
34,10,49.163895943632376
35,10,0.7789489152760887
36,10,0.9999999999999842
37,10,32.844175714840055
38,10,0.00030377508031456755
1,11,500000.0
7,11,130380000.0
15,11,30000.0
25,11,81.516
26,11,167.0
27,11,1.645168529463033
28,11,25.825922884028998
29,11,0.000834540490052382
30,11,0.029694557175990476
31,11,8.913591847488261
32,11,8.913591847488261
33,11,167.0
34,11,24.116931145630936
35,11,25.825922884028998
36,11,0.9999999999999858
37,11,24.240245436027145
38,11,0.0024141452067809152
1,12,650000.0
21,12,6.5392
26,12,171.0
27,12,2.4949585570902086
28,12,0.030434098699276838
29,12,3.590797552799917e-06
30,12,0.0005891469870123841
31,12,0.04118046643078488
32,12,0.04118046643078488
33,12,171.0
34,12,49.91240983708684
35,12,0.030434098699276838
36,12,0.9999999999999831
37,12,33.11265644891928
38,12,2.6537530777564206e-06
1,13,3380000.0
13,13,10000.0
23,13,12.564
26,13,171.0
27,13,2.4949585570902086
28,13,0.6603833080912873
29,13,2.0818335242912186e-06
30,13,0.00591681861867302
31,13,0.6549861624201645
32,13,0.6549861624201645
33,13,171.0
34,13,49.28246084578234
35,13,0.6603833080912873
36,13,0.9999999999999718
37,13,32.4988507538863
38,13,2.098987986254153e-06
1,14,42870000.0
22,14,9.2043
26,14,173.0
27,14,3.1882725049071765
28,14,1.917462637394359
29,14,0.00039466518206623946
30,14,0.008099849452165566
31,14,0.7937196716681384
32,14,0.7937196716681384
33,14,173.0
34,14,48.025385188812514
35,14,1.917462637394359
36,14,0.9999999999999721
37,14,32.360117321977754
38,14,0.0009528970440487684
1,15,7190000.0
23,15,11.169
26,15,177.0
27,15,4.9581237184540905
28,15,0.17775350089437106
29,15,0.0003476818487705301
30,15,0.0017510371859464956
31,15,0.9305751104040496
32,15,0.9305751104040496
33,15,177.0
34,15,49.76509105094303
35,15,0.17775350089437106
36,15,0.9999999999999708
37,15,32.22326189901942
38,15,6.643101985041796e-05
6,16,780000.0
21,16,6.8135
26,16,166.0
27,16,1.487428085834483
28,16,0.09463286214973352
29,16,2.3248169988159547e-06
30,16,0.0007265250695110197
31,16,0.3177993652858379
32,16,0.3177993652858379
33,16,166.0
34,16,49.848211079240684
35,16,0.09463286214973352
36,16,0.9999999999999855
37,16,32.836037552958466
38,16,6.92274654297222e-07
6,17,3950000.0
7,17,3790000.0
23,17,10.139
26,17,170.0
27,17,2.2300609739713777
28,17,0.535421990354344
29,17,8.778879505345022e-05
30,17,0.0017340635794371613
31,17,0.9358780597435064
32,17,0.9358780597435064
33,17,170.0
34,17,49.4074225347524
35,17,0.535421990354344
36,17,0.9999999999999847
37,17,32.217958911212754
38,17,5.022643348364833e-05
1,18,12350000.0
24,18,21.708000000000002
26,18,182.0
27,18,7.753363998896841
28,18,0.7740655319069146
29,18,1.2082199290466054e-05
30,18,0.006512806461238262
31,18,0.16021241538805917
32,18,0.16021241538805917
33,18,182.0
34,18,49.168779586268954
35,18,0.7740655319069146
36,18,0.9999999999999684
37,18,32.993624502118
38,18,5.837238685590037e-05
6,19,16410000.0
15,19,10000.0
22,19,8.5641
26,19,170.0
27,19,2.2300609739713777
28,19,5.018130097136799
29,19,2.451186782420575e-05
