"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.118854,0,127,0,0,,1.000000
37,,4112.690406,4122.497499,0,127,0,0,yes,1.000000
36,,0.000000,127.000000,0,127,0,0,,1.000000
35,,0.000000,67.720172,0,127,0,0,,1.000000
34,,0.000000,6275.023255,0,127,0,0,,1.000000
33,,0.000000,22381.000000,0,127,0,0,,1.000000
32,,0.000000,88.043334,0,127,0,0,,1.000000
31,,0.000000,88.043334,0,127,0,0,,1.000000
30,,0.000000,0.307559,0,127,0,0,,1.000000
29,,0.000000,0.239982,0,127,0,0,,1.000000
28,,0.000000,67.720172,0,127,0,0,,1.000000
27,,0.000000,25360.479737,0,127,0,0,,1.000000
26,,0.000000,22381.000000,0,127,0,0,,1.000000
25,,83.960600,303.407000,0,8,0,0,yes,1.000000
24,,208.627000,878.252000,0,42,0,0,yes,1.000000
23,,111.385700,408.619000,0,33,0,0,yes,1.000000
22,,47.074880,164.493800,0,19,0,0,yes,1.000000
21,,25.215290,91.193000,0,15,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,80000.000000,0,8,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,70000.000000,0,6,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,8420000.000000,0,6,0,0,yes,1.000000
8,,155863000.000000,343080000.000000,0,30,0,0,yes,1.000000
7,,141523000.000000,461060000.000000,0,33,0,0,yes,1.000000
6,,10969000.000000,32160000.000000,0,16,0,0,yes,1.000000
5,,1726000.000000,10120000.000000,0,8,0,0,yes,1.000000
4,,1458000.000000,4210000.000000,0,9,0,0,yes,1.000000
3,,1713000.000000,9220000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,77100000.000000,0,13,0,0,yes,1.000000
1,,79138000.000000,303490000.000000,0,16,0,0,yes,1.000000
