"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.173098,0,159,0,0,,1.000000
37,,5140.863008,5158.820501,0,159,0,0,yes,1.000000
36,,0.000000,159.000000,0,159,0,0,,1.000000
35,,0.000000,114.131323,0,159,0,0,,1.000000
34,,0.000000,7826.783158,0,159,0,0,,1.000000
33,,0.000000,28384.000000,0,159,0,0,,1.000000
32,,0.000000,112.643224,0,159,0,0,,1.000000
31,,0.000000,112.643224,0,159,0,0,,1.000000
30,,0.000000,0.405996,0,159,0,0,,1.000000
29,,0.000000,0.243684,0,159,0,0,,1.000000
28,,0.000000,114.131323,0,159,0,0,,1.000000
27,,0.000000,27506.238911,0,158,0,0,,1.000000
26,,0.000000,28384.000000,0,159,0,0,,1.000000
25,,83.960600,372.982000,0,9,0,0,yes,1.000000
24,,208.627000,1172.385000,0,55,0,0,yes,1.000000
23,,111.385700,437.986000,0,36,0,0,yes,1.000000
22,,47.074880,214.042400,0,25,0,0,yes,1.000000
21,,25.215290,155.976900,0,26,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,3,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,90000.000000,0,8,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,30000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,80000.000000,0,8,0,0,yes,1.000000
13,,7000.000000,60000.000000,0,4,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,13130000.000000,0,7,0,0,yes,1.000000
8,,155863000.000000,709140000.000000,0,35,0,0,yes,1.000000
7,,141523000.000000,280550000.000000,0,36,0,0,yes,1.000000
6,,10969000.000000,51130000.000000,0,23,0,0,yes,1.000000
5,,1726000.000000,14350000.000000,0,11,0,0,yes,1.000000
4,,1458000.000000,5390000.000000,0,12,0,0,yes,1.000000
3,,1713000.000000,11840000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,57660000.000000,0,10,0,0,yes,1.000000
1,,79138000.000000,502150000.000000,0,28,0,0,yes,1.000000
