"planning_unit","solution"
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,1
205,1
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,0
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,0
