"planning_unit","number"
321,15
320,16
319,16
318,17
317,20
316,17
315,18
314,17
313,16
312,18
311,15
310,17
309,11
308,15
307,17
306,17
305,18
304,14
303,19
302,17
301,17
300,16
299,17
298,16
297,15
296,17
295,19
294,15
293,16
292,15
291,14
290,16
289,16
288,17
287,18
286,15
285,14
284,18
283,10
282,18
281,15
280,19
279,6
278,16
277,11
276,7
275,18
274,14
273,18
272,2
271,18
270,15
269,15
268,17
267,16
266,16
265,18
264,19
263,18
262,16
261,12
260,15
259,18
258,18
257,17
256,18
255,15
254,12
253,19
252,14
251,15
250,18
249,17
248,18
247,17
246,14
245,15
244,17
243,15
242,18
241,17
240,11
239,13
238,15
237,13
236,12
235,15
234,16
233,18
232,17
231,14
230,13
229,16
228,14
227,17
226,17
225,16
224,19
223,15
222,17
221,17
220,18
219,15
218,9
217,10
216,17
215,16
214,15
213,16
212,16
211,15
210,15
209,16
208,12
207,16
206,13
205,14
204,18
203,16
202,10
201,15
200,13
199,16
198,17
197,17
196,15
195,15
194,17
193,15
192,19
191,15
190,20
189,13
188,18
187,0
186,13
185,4
184,17
183,17
182,8
181,14
180,11
179,18
178,19
177,15
176,16
175,16
174,18
173,18
172,19
171,16
170,16
169,17
168,16
167,17
166,14
165,19
164,15
163,19
162,16
161,17
160,18
159,18
158,15
157,15
156,16
155,16
154,19
153,15
152,17
151,18
150,18
149,11
148,13
147,18
146,16
145,15
144,15
143,20
142,15
141,14
140,18
139,13
138,17
137,15
136,18
135,19
134,18
133,18
132,17
131,16
130,19
129,15
128,15
127,18
126,18
125,15
124,15
123,17
122,18
121,17
120,16
119,16
118,16
117,18
116,15
115,17
114,17
113,13
112,16
111,14
110,15
109,19
108,17
107,17
106,14
105,18
104,16
103,18
102,17
101,14
100,17
99,15
98,15
97,16
96,15
95,16
94,17
93,18
92,15
91,16
90,16
89,15
88,17
87,19
86,15
85,18
84,15
83,17
82,16
81,16
80,16
79,17
78,17
77,16
76,17
75,15
74,14
73,18
72,18
71,14
70,19
69,13
68,16
67,17
66,15
65,15
64,18
63,17
62,14
61,19
60,16
59,15
58,15
57,13
56,13
55,19
54,15
53,17
52,17
51,17
50,16
49,18
48,17
47,18
46,17
45,16
44,19
43,18
42,20
41,18
40,17
39,15
38,17
37,17
36,17
35,17
34,16
33,12
32,15
31,13
30,18
29,12
28,17
27,12
26,18
25,18
24,18
23,17
22,18
21,17
20,16
19,12
18,18
17,16
16,18
15,17
14,17
13,12
12,15
11,9
10,17
9,16
8,8
7,12
6,15
5,20
4,16
3,13
2,19
1,20
