"planning_unit","solution"
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,0
321,1
