"planning_unit","number"
321,10
320,8
319,2
318,4
317,20
316,12
315,8
314,8
313,8
312,8
311,8
310,9
309,10
308,14
307,7
306,10
305,6
304,12
303,7
302,5
301,7
300,7
299,8
298,11
297,8
296,6
295,9
294,8
293,10
292,5
291,8
290,10
289,10
288,7
287,7
286,9
285,7
284,7
283,7
282,7
281,7
280,10
279,5
278,10
277,2
276,3
275,8
274,6
273,9
272,4
271,7
270,8
269,6
268,7
267,6
266,8
265,6
264,8
263,6
262,9
261,3
260,7
259,9
258,8
257,5
256,6
255,12
254,6
253,3
252,7
251,6
250,7
249,6
248,7
247,10
246,11
245,7
244,7
243,9
242,12
241,8
240,6
239,10
238,5
237,6
236,6
235,9
234,6
233,8
232,7
231,9
230,4
229,11
228,7
227,9
226,10
225,8
224,6
223,8
222,12
221,10
220,4
219,10
218,7
217,2
216,8
215,9
214,5
213,7
212,8
211,7
210,7
209,7
208,10
207,8
206,10
205,8
204,9
203,10
202,4
201,5
200,2
199,8
198,14
197,6
196,9
195,10
194,9
193,9
192,10
191,5
190,10
189,9
188,8
187,2
186,7
185,0
184,11
183,11
182,10
181,6
180,7
179,12
178,6
177,7
176,4
175,10
174,5
173,11
172,6
171,6
170,9
169,8
168,7
167,5
166,11
165,9
164,5
163,8
162,8
161,5
160,11
159,9
158,11
157,12
156,6
155,7
154,11
153,6
152,9
151,8
150,10
149,4
148,7
147,4
146,8
145,11
144,10
143,20
142,8
141,7
140,10
139,8
138,8
137,7
136,9
135,8
134,6
133,10
132,6
131,5
130,6
129,6
128,12
127,11
126,8
125,8
124,10
123,9
122,7
121,14
120,7
119,8
118,12
117,10
116,5
115,6
114,9
113,7
112,6
111,11
110,7
109,8
108,7
107,8
106,7
105,6
104,7
103,11
102,7
101,8
100,8
99,8
98,11
97,7
96,10
95,9
94,5
93,11
92,9
91,7
90,8
89,11
88,10
87,6
86,12
85,9
84,3
83,8
82,9
81,11
80,10
79,8
78,4
77,9
76,12
75,5
74,7
73,11
72,9
71,10
70,7
69,4
68,7
67,6
66,8
65,7
64,8
63,6
62,8
61,5
60,8
59,10
58,10
57,7
56,5
55,7
54,8
53,14
52,8
51,11
50,10
49,10
48,9
47,5
46,5
45,9
44,10
43,8
42,7
41,5
40,10
39,9
38,11
37,8
36,8
35,7
34,8
33,4
32,4
31,2
30,5
29,6
28,10
27,8
26,10
25,13
24,9
23,10
22,8
21,7
20,11
19,4
18,12
17,5
16,7
15,8
14,4
13,6
12,8
11,0
10,5
9,6
8,9
7,5
6,7
5,20
4,8
3,11
2,7
1,20
