"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.301280,0,287,0,0,,1.000000
37,,0.000000,9264.890774,0,287,0,0,,1.000000
36,,0.000000,287.000000,0,287,0,0,,1.000000
35,,0.000000,227.526987,0,287,0,0,,1.000000
34,,14103.896839,14106.073679,0,287,0,0,yes,1.000000
33,,0.000000,52018.000000,0,287,0,0,,1.000000
32,,0.000000,250.265882,0,287,0,0,,1.000000
31,,0.000000,250.265882,0,287,0,0,,1.000000
30,,0.000000,0.806200,0,287,0,0,,1.000000
29,,0.000000,0.526699,0,287,0,0,,1.000000
28,,0.000000,227.526987,0,287,0,0,,1.000000
27,,0.000000,50809.169157,0,286,0,0,,1.000000
26,,0.000000,52018.000000,0,287,0,0,,1.000000
25,,83.960600,687.935000,0,18,0,0,yes,1.000000
24,,208.627000,1829.908000,0,87,0,0,yes,1.000000
23,,111.385700,992.321000,0,79,0,0,yes,1.000000
22,,47.074880,427.081700,0,50,0,0,yes,1.000000
21,,25.215290,245.866300,0,41,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,70000.000000,0,6,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,130000.000000,0,12,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,60000.000000,0,6,0,0,yes,1.000000
14,,17000.000000,130000.000000,0,12,0,0,yes,1.000000
13,,7000.000000,70000.000000,0,5,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,12100000.000000,0,9,0,0,yes,1.000000
8,,155863000.000000,1280420000.000000,0,63,0,0,yes,1.000000
7,,141523000.000000,878670000.000000,0,76,0,0,yes,1.000000
6,,10969000.000000,104800000.000000,0,40,0,0,yes,1.000000
5,,1726000.000000,12190000.000000,0,13,0,0,yes,1.000000
4,,1458000.000000,14150000.000000,0,21,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,150520000.000000,0,22,0,0,yes,1.000000
1,,79138000.000000,767200000.000000,0,52,0,0,yes,1.000000
