"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.092587,0,76,0,0,,1.000000
37,,0.000000,2406.484848,0,76,0,0,,1.000000
36,,0.000000,76.000000,0,76,0,0,,1.000000
35,,0.000000,151.282904,0,76,0,0,,1.000000
34,,0.000000,3644.374517,0,75,0,0,,1.000000
33,,0.000000,15020.000000,0,76,0,0,,1.000000
32,,0.000000,113.207778,0,76,0,0,,1.000000
31,,0.000000,113.207778,0,76,0,0,,1.000000
30,,0.000000,0.273447,0,76,0,0,,1.000000
29,,0.000000,0.163754,0,76,0,0,,1.000000
28,,0.000000,151.282904,0,76,0,0,,1.000000
27,,34718.400000,34768.742918,0,76,0,0,yes,1.000000
26,,0.000000,15020.000000,0,76,0,0,,1.000000
25,,83.960600,223.486000,0,5,0,0,yes,1.000000
24,,208.627000,591.194000,0,28,0,0,yes,1.000000
23,,111.385700,276.055000,0,22,0,0,yes,1.000000
22,,47.074880,117.470100,0,13,0,0,yes,1.000000
21,,25.215290,37.040700,0,6,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,30000.000000,0,1,0,0,yes,1.000000
14,,17000.000000,100000.000000,0,8,0,0,yes,1.000000
13,,7000.000000,10000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,507090000.000000,0,25,0,0,yes,1.000000
7,,141523000.000000,561420000.000000,0,22,0,0,yes,1.000000
6,,10969000.000000,12360000.000000,0,5,0,0,yes,1.000000
5,,1726000.000000,3700000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,1710000.000000,0,4,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,56380000.000000,0,11,0,0,yes,1.000000
1,,79138000.000000,204950000.000000,0,8,0,0,yes,1.000000
