"planning_unit","number"
321,12
320,0
319,0
318,1
317,20
316,1
315,20
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,3
303,0
302,0
301,0
300,8
299,4
298,0
297,0
296,0
295,5
294,0
293,0
292,0
291,0
290,0
289,0
288,0
287,0
286,0
285,0
284,0
283,0
282,0
281,1
280,0
279,0
278,0
277,0
276,0
275,0
274,0
273,1
272,0
271,1
270,2
269,2
268,0
267,0
266,3
265,5
264,4
263,6
262,6
261,2
260,0
259,1
258,5
257,1
256,2
255,3
254,3
253,2
252,4
251,11
250,7
249,6
248,12
247,16
246,7
245,19
244,19
243,16
242,20
241,20
240,19
239,17
238,20
237,20
236,20
235,20
234,20
233,20
232,20
231,20
230,20
229,20
228,20
227,20
226,20
225,20
224,20
223,20
222,20
221,20
220,20
219,20
218,20
217,20
216,20
215,20
214,20
213,20
212,20
211,20
210,20
209,20
208,20
207,20
206,20
205,20
204,20
203,20
202,20
201,20
200,20
199,20
198,20
197,20
196,20
195,20
194,20
193,20
192,20
191,20
190,20
189,20
188,20
187,20
186,20
185,20
184,20
183,20
182,20
181,20
180,20
179,20
178,20
177,20
176,20
175,20
174,20
173,20
172,20
171,20
170,20
169,20
168,20
167,20
166,20
165,20
164,20
163,20
162,20
161,20
160,20
159,20
158,20
157,20
156,19
155,19
154,20
153,20
152,20
151,20
150,20
149,20
148,19
147,18
146,20
145,20
144,18
143,20
142,20
141,19
140,19
139,20
138,20
137,20
136,20
135,17
134,20
133,9
132,20
131,19
130,19
129,17
128,19
127,17
126,16
125,20
124,16
123,17
122,17
121,14
120,15
119,17
118,12
117,15
116,13
115,14
114,10
113,12
112,9
111,8
110,12
109,7
108,8
107,1
106,2
105,11
104,1
103,3
102,2
101,4
100,2
99,2
98,2
97,3
96,2
95,2
94,6
93,1
92,0
91,1
90,2
89,3
88,3
87,2
86,1
85,0
84,1
83,2
82,0
81,1
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,0
72,0
71,0
70,0
69,0
68,0
67,0
66,7
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,1
51,1
50,0
49,0
48,0
47,0
46,0
45,0
44,0
43,0
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,0
33,0
32,0
31,0
30,0
29,10
28,0
27,0
26,0
25,1
24,0
23,0
22,1
21,0
20,0
19,1
18,0
17,0
16,0
15,0
14,0
13,0
12,0
11,8
10,0
9,1
8,0
7,0
6,0
5,20
4,0
3,0
2,0
1,20
