"planning_unit","number"
321,3
320,0
319,6
318,3
317,20
316,1
315,3
314,1
313,4
312,0
311,0
310,1
309,5
308,1
307,1
306,0
305,1
304,3
303,2
302,0
301,1
300,6
299,9
298,0
297,0
296,2
295,3
294,3
293,4
292,3
291,1
290,0
289,0
288,1
287,0
286,2
285,3
284,4
283,1
282,2
281,4
280,1
279,3
278,0
277,2
276,2
275,1
274,1
273,2
272,5
271,1
270,2
269,0
268,1
267,4
266,0
265,0
264,0
263,3
262,0
261,5
260,2
259,1
258,0
257,1
256,1
255,8
254,7
253,3
252,2
251,1
250,1
249,2
248,1
247,11
246,1
245,1
244,1
243,0
242,0
241,4
240,0
239,0
238,1
237,5
236,0
235,2
234,2
233,0
232,1
231,4
230,3
229,1
228,2
227,1
226,2
225,0
224,1
223,1
222,1
221,2
220,1
219,1
218,0
217,2
216,2
215,0
214,1
213,0
212,1
211,2
210,2
209,1
208,1
207,2
206,1
205,3
204,1
203,2
202,3
201,0
200,0
199,1
198,10
197,1
196,3
195,2
194,2
193,1
192,0
191,2
190,3
189,4
188,1
187,1
186,1
185,10
184,3
183,0
182,0
181,4
180,2
179,1
178,2
177,0
176,0
175,1
174,0
173,2
172,2
171,1
170,4
169,1
168,1
167,0
166,0
165,2
164,0
163,0
162,1
161,1
160,1
159,1
158,5
157,1
156,1
155,2
154,1
153,3
152,2
151,1
150,1
149,1
148,0
147,0
146,0
145,0
144,1
143,20
142,0
141,1
140,10
139,0
138,2
137,2
136,5
135,2
134,1
133,0
132,5
131,1
130,2
129,1
128,3
127,0
126,0
125,7
124,3
123,1
122,6
121,2
120,3
119,4
118,2
117,1
116,1
115,0
114,3
113,1
112,0
111,0
110,2
109,1
108,1
107,1
106,2
105,0
104,2
103,2
102,0
101,2
100,6
99,2
98,1
97,2
96,2
95,1
94,2
93,2
92,1
91,1
90,2
89,1
88,1
87,1
86,2
85,2
84,2
83,0
82,4
81,2
80,0
79,2
78,4
77,2
76,1
75,0
74,3
73,0
72,1
71,0
70,1
69,1
68,2
67,1
66,7
65,1
64,0
63,1
62,2
61,1
60,3
59,4
58,1
57,1
56,1
55,0
54,0
53,0
52,1
51,0
50,1
49,0
48,2
47,0
46,2
45,2
44,3
43,0
42,2
41,2
40,0
39,0
38,3
37,0
36,1
35,0
34,1
33,4
32,0
31,1
30,1
29,4
28,1
27,0
26,6
25,3
24,3
23,0
22,3
21,4
20,1
19,7
18,1
17,2
16,1
15,3
14,3
13,5
12,3
11,16
10,1
9,5
8,2
7,3
6,2
5,20
4,1
3,1
2,3
1,20
