"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.206897,0,193,0,0,,1.000000
37,,0.000000,6166.784899,0,192,0,0,,1.000000
36,,192.600000,193.000000,0,193,0,0,yes,1.000000
35,,0.000000,223.127726,0,193,0,0,,1.000000
34,,0.000000,9415.844272,0,192,0,0,,1.000000
33,,0.000000,34700.000000,0,193,0,0,,1.000000
32,,0.000000,231.909629,0,193,0,0,,1.000000
31,,0.000000,231.909629,0,193,0,0,,1.000000
30,,0.000000,0.613963,0,193,0,0,,1.000000
29,,0.000000,0.442170,0,193,0,0,,1.000000
28,,0.000000,223.127726,0,193,0,0,,1.000000
27,,0.000000,35919.107097,0,192,0,0,,1.000000
26,,0.000000,34700.000000,0,193,0,0,,1.000000
25,,83.960600,474.746000,0,12,0,0,yes,1.000000
24,,208.627000,1376.524000,0,65,0,0,yes,1.000000
23,,111.385700,670.051000,0,54,0,0,yes,1.000000
22,,47.074880,230.129200,0,27,0,0,yes,1.000000
21,,25.215290,142.647700,0,24,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,60000.000000,0,5,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,90000.000000,0,9,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,80000.000000,0,5,0,0,yes,1.000000
14,,17000.000000,140000.000000,0,11,0,0,yes,1.000000
13,,7000.000000,40000.000000,0,3,0,0,yes,1.000000
12,,4000.000000,40000.000000,0,3,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,12550000.000000,0,8,0,0,yes,1.000000
8,,155863000.000000,797900000.000000,0,39,0,0,yes,1.000000
7,,141523000.000000,1061820000.000000,0,52,0,0,yes,1.000000
6,,10969000.000000,44090000.000000,0,23,0,0,yes,1.000000
5,,1726000.000000,16810000.000000,0,17,0,0,yes,1.000000
4,,1458000.000000,5920000.000000,0,15,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,110810000.000000,0,16,0,0,yes,1.000000
1,,79138000.000000,490470000.000000,0,32,0,0,yes,1.000000
