"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.274790,0,257,0,0,,1.000000
37,,0.000000,8211.644226,0,256,0,0,,1.000000
36,,256.800000,257.000000,0,257,0,0,yes,1.000000
35,,0.000000,287.274966,0,257,0,0,,1.000000
34,,0.000000,12548.040672,0,256,0,0,,1.000000
33,,0.000000,46374.000000,0,257,0,0,,1.000000
32,,0.000000,308.896072,0,257,0,0,,1.000000
31,,0.000000,308.896072,0,257,0,0,,1.000000
30,,0.000000,0.801756,0,257,0,0,,1.000000
29,,0.000000,0.543730,0,257,0,0,,1.000000
28,,0.000000,287.274966,0,257,0,0,,1.000000
27,,0.000000,47023.931056,0,255,0,0,,1.000000
26,,0.000000,46374.000000,0,257,0,0,,1.000000
25,,83.960600,724.738000,0,19,0,0,yes,1.000000
24,,208.627000,1762.015000,0,84,0,0,yes,1.000000
23,,111.385700,828.175000,0,66,0,0,yes,1.000000
22,,47.074880,366.879300,0,43,0,0,yes,1.000000
21,,25.215290,196.927400,0,33,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,80000.000000,0,7,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,120000.000000,0,11,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,50000.000000,0,4,0,0,yes,1.000000
14,,17000.000000,150000.000000,0,12,0,0,yes,1.000000
13,,7000.000000,50000.000000,0,4,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,7180000.000000,0,7,0,0,yes,1.000000
8,,155863000.000000,1262400000.000000,0,61,0,0,yes,1.000000
7,,141523000.000000,1150220000.000000,0,63,0,0,yes,1.000000
6,,10969000.000000,84750000.000000,0,36,0,0,yes,1.000000
5,,1726000.000000,10150000.000000,0,12,0,0,yes,1.000000
4,,1458000.000000,12000000.000000,0,19,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,162160000.000000,0,22,0,0,yes,1.000000
1,,79138000.000000,660160000.000000,0,47,0,0,yes,1.000000
