"planning_unit","number"
321,3
320,0
319,1
318,0
317,20
316,5
315,5
314,1
313,1
312,2
311,0
310,0
309,1
308,0
307,0
306,0
305,1
304,8
303,1
302,0
301,1
300,3
299,6
298,1
297,1
296,0
295,4
294,2
293,0
292,0
291,0
290,1
289,0
288,2
287,0
286,1
285,0
284,0
283,1
282,1
281,0
280,1
279,19
278,0
277,20
276,20
275,3
274,1
273,0
272,20
271,5
270,1
269,0
268,0
267,2
266,1
265,0
264,1
263,1
262,0
261,7
260,0
259,2
258,1
257,0
256,0
255,5
254,5
253,0
252,1
251,0
250,0
249,5
248,1
247,10
246,1
245,2
244,1
243,0
242,0
241,4
240,1
239,0
238,0
237,3
236,1
235,0
234,1
233,0
232,0
231,1
230,7
229,3
228,3
227,0
226,3
225,0
224,1
223,1
222,0
221,4
220,0
219,0
218,5
217,3
216,1
215,1
214,0
213,1
212,1
211,0
210,2
209,0
208,7
207,0
206,0
205,2
204,2
203,0
202,9
201,2
200,2
199,1
198,10
197,2
196,0
195,0
194,2
193,1
192,1
191,1
190,1
189,4
188,0
187,20
186,6
185,20
184,2
183,0
182,19
181,2
180,1
179,0
178,3
177,0
176,0
175,1
174,1
173,0
172,0
171,3
170,0
169,0
168,1
167,0
166,2
165,1
164,0
163,1
162,2
161,1
160,0
159,1
158,3
157,0
156,0
155,1
154,1
153,2
152,0
151,0
150,1
149,2
148,0
147,0
146,0
145,0
144,1
143,20
142,4
141,0
140,6
139,0
138,1
137,3
136,2
135,3
134,0
133,0
132,1
131,0
130,0
129,4
128,2
127,1
126,0
125,2
124,4
123,0
122,1
121,0
120,6
119,1
118,3
117,0
116,0
115,0
114,0
113,0
112,0
111,0
110,0
109,1
108,3
107,1
106,0
105,1
104,4
103,0
102,2
101,1
100,1
99,1
98,0
97,0
96,1
95,0
94,0
93,0
92,0
91,2
90,0
89,0
88,1
87,2
86,0
85,0
84,0
83,1
82,0
81,3
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,0
72,0
71,0
70,1
69,0
68,3
67,2
66,10
65,0
64,1
63,2
62,0
61,4
60,3
59,0
58,0
57,2
56,2
55,0
54,1
53,0
52,6
51,0
50,0
49,2
48,1
47,0
46,1
45,0
44,0
43,0
42,1
41,4
40,0
39,0
38,0
37,0
36,1
35,2
34,0
33,4
32,0
31,1
30,1
29,3
28,4
27,1
26,7
25,2
24,1
23,1
22,2
21,2
20,2
19,15
18,0
17,1
16,3
15,0
14,2
13,2
12,1
11,20
10,1
9,2
8,13
7,4
6,2
5,20
4,0
3,0
2,0
1,20
