"planning_unit","number"
321,1
320,1
319,8
318,0
317,20
316,0
315,0
314,0
313,0
312,0
311,0
310,1
309,0
308,0
307,0
306,0
305,0
304,9
303,1
302,1
301,1
300,4
299,8
298,1
297,0
296,0
295,0
294,1
293,0
292,1
291,0
290,0
289,1
288,2
287,2
286,1
285,1
284,0
283,0
282,0
281,1
280,0
279,16
278,0
277,20
276,20
275,0
274,1
273,0
272,11
271,2
270,0
269,0
268,0
267,3
266,2
265,0
264,1
263,0
262,1
261,17
260,1
259,0
258,0
257,0
256,0
255,4
254,10
253,2
252,7
251,3
250,0
249,1
248,1
247,16
246,0
245,2
244,0
243,0
242,0
241,3
240,1
239,0
238,1
237,9
236,2
235,0
234,2
233,0
232,0
231,1
230,18
229,6
228,7
227,0
226,0
225,0
224,2
223,1
222,0
221,0
220,0
219,0
218,3
217,20
216,1
215,1
214,0
213,0
212,1
211,0
210,0
209,0
208,1
207,0
206,0
205,0
204,0
203,0
202,20
201,0
200,10
199,0
198,5
197,0
196,2
195,1
194,0
193,1
192,0
191,1
190,0
189,4
188,1
187,20
186,18
185,20
184,0
183,0
182,2
181,3
180,0
179,0
178,1
177,0
176,0
175,0
174,1
173,0
172,5
171,0
170,6
169,0
168,1
167,0
166,0
165,1
164,1
163,2
162,1
161,0
160,0
159,0
158,0
157,0
156,1
155,0
154,0
153,0
152,0
151,0
150,2
149,3
148,0
147,0
146,0
145,1
144,1
143,20
142,0
141,0
140,4
139,1
138,0
137,5
136,0
135,0
134,1
133,0
132,2
131,0
130,0
129,0
128,0
127,1
126,0
125,1
124,0
123,0
122,0
121,2
120,3
119,3
118,0
117,0
116,1
115,0
114,5
113,0
112,0
111,0
110,6
109,0
108,0
107,0
106,0
105,0
104,10
103,0
102,1
101,2
100,2
99,0
98,0
97,0
96,0
95,1
94,0
93,1
92,0
91,1
90,0
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,1
81,1
80,0
79,1
78,2
77,2
76,0
75,0
74,0
73,1
72,0
71,0
70,1
69,1
68,2
67,0
66,12
65,0
64,0
63,0
62,0
61,2
60,0
59,1
58,0
57,1
56,2
55,0
54,0
53,0
52,4
51,0
50,0
49,0
48,1
47,0
46,0
45,1
44,2
43,0
42,0
41,3
40,0
39,0
38,0
37,0
36,0
35,1
34,2
33,6
32,0
31,3
30,0
29,4
28,2
27,3
26,1
25,1
24,5
23,0
22,0
21,0
20,0
19,19
18,0
17,0
16,1
15,0
14,3
13,3
12,1
11,20
10,1
9,1
8,1
7,9
6,11
5,20
4,0
3,1
2,1
1,20
