"planning_unit","number"
321,0
320,6
319,9
318,0
317,20
316,0
315,0
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,8
303,0
302,0
301,0
300,4
299,8
298,0
297,0
296,3
295,0
294,0
293,0
292,0
291,0
290,0
289,0
288,2
287,2
286,0
285,2
284,0
283,0
282,0
281,1
280,0
279,9
278,0
277,20
276,20
275,0
274,0
273,1
272,11
271,1
270,0
269,0
268,0
267,4
266,1
265,0
264,0
263,0
262,0
261,13
260,8
259,0
258,0
257,0
256,0
255,2
254,3
253,6
252,15
251,0
250,0
249,0
248,1
247,16
246,1
245,0
244,0
243,2
242,0
241,1
240,0
239,0
238,0
237,1
236,1
235,0
234,0
233,0
232,0
231,0
230,12
229,3
228,5
227,0
226,0
225,0
224,0
223,0
222,0
221,1
220,0
219,0
218,4
217,19
216,0
215,0
214,1
213,0
212,0
211,0
210,0
209,0
208,2
207,0
206,0
205,0
204,0
203,1
202,16
201,0
200,7
199,1
198,4
197,0
196,4
195,0
194,0
193,0
192,0
191,0
190,0
189,7
188,0
187,20
186,10
185,20
184,0
183,0
182,0
181,0
180,0
179,0
178,0
177,0
176,0
175,0
174,0
173,0
172,12
171,0
170,9
169,0
168,0
167,0
166,0
165,0
164,0
163,0
162,0
161,1
160,0
159,0
158,0
157,0
156,0
155,0
154,0
153,0
152,1
151,1
150,0
149,13
148,0
147,0
146,1
145,0
144,1
143,20
142,0
141,0
140,5
139,0
138,0
137,14
136,3
135,0
134,1
133,0
132,0
131,0
130,4
129,0
128,0
127,0
126,0
125,3
124,2
123,0
122,0
121,0
120,15
119,2
118,0
117,0
116,0
115,0
114,20
113,1
112,1
111,0
110,3
109,0
108,0
107,0
106,0
105,9
104,3
103,0
102,0
101,1
100,0
99,0
98,0
97,1
96,0
95,0
94,2
93,2
92,0
91,0
90,8
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,0
81,2
80,0
79,0
78,2
77,0
76,2
75,0
74,0
73,0
72,0
71,0
70,0
69,0
68,1
67,0
66,20
65,0
64,0
63,0
62,10
61,2
60,2
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,1
51,0
50,1
49,0
48,1
47,3
46,0
45,0
44,0
43,0
42,1
41,1
40,0
39,3
38,0
37,0
36,0
35,0
34,0
33,14
32,0
31,20
30,0
29,4
28,4
27,14
26,0
25,1
24,2
23,11
22,0
21,0
20,2
19,20
18,3
17,0
16,0
15,0
14,8
13,1
12,1
11,20
10,0
9,0
8,11
7,2
6,3
5,20
4,0
3,0
2,0
1,20
