"planning_unit","solution"
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,0
