"planning_unit","number"
321,9
320,0
319,2
318,1
317,20
316,0
315,6
314,5
313,0
312,0
311,0
310,1
309,1
308,1
307,2
306,0
305,0
304,4
303,0
302,0
301,1
300,2
299,9
298,0
297,2
296,0
295,6
294,1
293,0
292,0
291,2
290,0
289,0
288,0
287,0
286,0
285,2
284,0
283,1
282,0
281,2
280,0
279,1
278,0
277,1
276,1
275,2
274,0
273,0
272,3
271,3
270,2
269,1
268,2
267,0
266,2
265,2
264,2
263,2
262,2
261,6
260,0
259,1
258,1
257,3
256,1
255,4
254,4
253,3
252,1
251,1
250,1
249,1
248,0
247,8
246,1
245,2
244,3
243,3
242,2
241,1
240,2
239,4
238,5
237,3
236,0
235,1
234,2
233,2
232,0
231,11
230,3
229,0
228,1
227,1
226,5
225,3
224,8
223,3
222,5
221,5
220,2
219,5
218,7
217,6
216,5
215,2
214,2
213,4
212,4
211,2
210,4
209,4
208,2
207,3
206,2
205,4
204,0
203,3
202,6
201,1
200,2
199,3
198,12
197,1
196,6
195,5
194,4
193,5
192,4
191,1
190,6
189,4
188,5
187,4
186,2
185,9
184,2
183,6
182,7
181,6
180,6
179,7
178,4
177,7
176,6
175,6
174,4
173,4
172,3
171,5
170,6
169,5
168,7
167,5
166,6
165,6
164,5
163,6
162,2
161,6
160,9
159,8
158,9
157,5
156,6
155,2
154,2
153,6
152,4
151,3
150,6
149,6
148,8
147,3
146,5
145,8
144,5
143,20
142,6
141,6
140,11
139,2
138,5
137,7
136,6
135,7
134,1
133,6
132,6
131,4
130,6
129,6
128,6
127,4
126,4
125,3
124,7
123,7
122,8
121,8
120,7
119,5
118,4
117,3
116,4
115,5
114,5
113,6
112,9
111,4
110,3
109,1
108,5
107,6
106,5
105,1
104,6
103,2
102,5
101,3
100,6
99,4
98,6
97,5
96,3
95,4
94,2
93,2
92,6
91,5
90,7
89,3
88,7
87,3
86,3
85,6
84,3
83,1
82,4
81,4
80,4
79,4
78,1
77,6
76,4
75,3
74,2
73,3
72,2
71,3
70,4
69,2
68,4
67,3
66,7
65,2
64,5
63,5
62,3
61,6
60,2
59,5
58,2
57,3
56,4
55,2
54,4
53,4
52,6
51,6
50,2
49,2
48,1
47,5
46,2
45,4
44,1
43,1
42,0
41,2
40,3
39,4
38,6
37,2
36,2
35,2
34,4
33,6
32,3
31,1
30,4
29,6
28,3
27,4
26,4
25,4
24,3
23,2
22,4
21,2
20,4
19,4
18,1
17,1
16,3
15,3
14,3
13,3
12,3
11,8
10,3
9,4
8,2
7,2
6,2
5,20
4,2
3,1
2,1
1,20
