"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.182508,0,145,0,0,,1.000000
37,,0.000000,4600.512198,0,144,0,0,,1.000000
36,,0.000000,145.000000,0,145,0,0,,1.000000
35,,0.000000,178.089332,0,145,0,0,,1.000000
34,,0.000000,7063.625174,0,144,0,0,,1.000000
33,,28876.500000,28884.000000,0,145,0,0,yes,1.000000
32,,0.000000,206.795618,0,145,0,0,,1.000000
31,,0.000000,206.795618,0,145,0,0,,1.000000
30,,0.000000,0.494289,0,145,0,0,,1.000000
29,,0.000000,0.377171,0,145,0,0,,1.000000
28,,0.000000,178.089332,0,145,0,0,,1.000000
27,,0.000000,33938.140529,0,145,0,0,,1.000000
26,,0.000000,28884.000000,0,145,0,0,,1.000000
25,,83.960600,365.321000,0,10,0,0,yes,1.000000
24,,208.627000,996.970000,0,48,0,0,yes,1.000000
23,,111.385700,486.721000,0,39,0,0,yes,1.000000
22,,47.074880,216.842200,0,25,0,0,yes,1.000000
21,,25.215290,93.708600,0,15,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,50000.000000,0,4,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,30000.000000,0,3,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,30000.000000,0,3,0,0,yes,1.000000
14,,17000.000000,130000.000000,0,10,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,618400000.000000,0,21,0,0,yes,1.000000
7,,141523000.000000,932150000.000000,0,53,0,0,yes,1.000000
6,,10969000.000000,20810000.000000,0,15,0,0,yes,1.000000
5,,1726000.000000,3740000.000000,0,4,0,0,yes,1.000000
4,,1458000.000000,12010000.000000,0,15,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,33310000.000000,0,8,0,0,yes,1.000000
1,,79138000.000000,631820000.000000,0,34,0,0,yes,1.000000
