"planning_unit","solution"
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,1
318,0
319,0
320,0
321,1
