"planning_unit","number"
321,0
320,20
319,20
318,1
317,20
316,1
315,20
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,11
303,0
302,0
301,0
300,2
299,7
298,0
297,0
296,9
295,0
294,5
293,0
292,1
291,1
290,0
289,7
288,20
287,20
286,0
285,0
284,1
283,0
282,0
281,19
280,0
279,20
278,0
277,20
276,20
275,0
274,20
273,0
272,20
271,1
270,0
269,0
268,1
267,20
266,0
265,0
264,0
263,0
262,0
261,20
260,19
259,0
258,0
257,20
256,0
255,1
254,20
253,19
252,20
251,16
250,5
249,19
248,7
247,7
246,0
245,20
244,0
243,17
242,0
241,20
240,20
239,2
238,18
237,20
236,20
235,4
234,0
233,0
232,0
231,7
230,20
229,20
228,20
227,0
226,20
225,0
224,0
223,1
222,0
221,0
220,0
219,5
218,20
217,20
216,0
215,0
214,20
213,0
212,0
211,18
210,4
209,1
208,16
207,0
206,0
205,0
204,0
203,2
202,20
201,3
200,20
199,0
198,13
197,0
196,20
195,0
194,0
193,1
192,0
191,0
190,0
189,2
188,0
187,20
186,20
185,20
184,3
183,0
182,15
181,20
180,0
179,1
178,11
177,0
176,1
175,0
174,0
173,0
172,20
171,2
170,18
169,0
168,1
167,2
166,0
165,0
164,0
163,0
162,2
161,0
160,0
159,0
158,0
157,0
156,0
155,0
154,0
153,0
152,1
151,0
150,0
149,20
148,0
147,0
146,15
145,0
144,0
143,20
142,0
141,0
140,5
139,0
138,0
137,20
136,5
135,1
134,7
133,0
132,0
131,0
130,0
129,2
128,0
127,0
126,0
125,1
124,19
123,0
122,4
121,0
120,19
119,1
118,0
117,0
116,0
115,0
114,20
113,0
112,1
111,0
110,1
109,12
108,0
107,0
106,3
105,12
104,6
103,0
102,0
101,7
100,0
99,0
98,0
97,0
96,1
95,0
94,2
93,1
92,0
91,0
90,11
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,0
81,0
80,0
79,0
78,0
77,0
76,4
75,0
74,0
73,0
72,0
71,0
70,0
69,0
68,0
67,0
66,20
65,0
64,0
63,0
62,10
61,1
60,4
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,11
51,0
50,5
49,0
48,0
47,0
46,0
45,19
44,0
43,1
42,1
41,0
40,1
39,10
38,0
37,20
36,0
35,10
34,0
33,20
32,1
31,20
30,0
29,15
28,7
27,20
26,3
25,0
24,4
23,9
22,0
21,0
20,0
19,20
18,10
17,3
16,0
15,0
14,20
13,8
12,0
11,20
10,8
9,18
8,20
7,20
6,20
5,20
4,0
3,0
2,0
1,20
