"planning_unit","number"
321,2
320,2
319,2
318,0
317,20
316,1
315,3
314,0
313,1
312,1
311,0
310,1
309,0
308,2
307,2
306,0
305,0
304,5
303,3
302,2
301,1
300,3
299,8
298,0
297,1
296,1
295,4
294,5
293,1
292,1
291,2
290,0
289,1
288,6
287,0
286,2
285,0
284,0
283,0
282,1
281,1
280,2
279,1
278,0
277,3
276,0
275,3
274,2
273,0
272,9
271,2
270,0
269,0
268,0
267,5
266,4
265,0
264,2
263,0
262,1
261,15
260,3
259,1
258,0
257,2
256,2
255,5
254,3
253,2
252,3
251,1
250,0
249,2
248,2
247,7
246,0
245,3
244,0
243,0
242,1
241,0
240,2
239,0
238,1
237,6
236,0
235,0
234,0
233,1
232,0
231,4
230,1
229,0
228,1
227,0
226,0
225,1
224,3
223,1
222,1
221,4
220,1
219,0
218,0
217,3
216,1
215,2
214,0
213,1
212,0
211,2
210,4
209,1
208,7
207,0
206,0
205,2
204,2
203,2
202,2
201,2
200,0
199,0
198,15
197,1
196,1
195,0
194,1
193,2
192,0
191,2
190,1
189,1
188,1
187,1
186,1
185,9
184,0
183,0
182,0
181,2
180,0
179,2
178,4
177,0
176,3
175,0
174,0
173,2
172,0
171,1
170,0
169,5
168,3
167,3
166,2
165,1
164,0
163,3
162,1
161,1
160,0
159,2
158,3
157,2
156,2
155,1
154,2
153,4
152,2
151,1
150,3
149,3
148,1
147,1
146,0
145,1
144,0
143,20
142,1
141,0
140,9
139,1
138,1
137,3
136,2
135,0
134,0
133,2
132,1
131,1
130,3
129,3
128,2
127,0
126,1
125,7
124,2
123,3
122,3
121,3
120,2
119,4
118,2
117,1
116,1
115,0
114,5
113,0
112,0
111,1
110,3
109,0
108,1
107,3
106,0
105,2
104,3
103,1
102,0
101,0
100,3
99,3
98,1
97,1
96,3
95,2
94,0
93,0
92,0
91,0
90,5
89,0
88,0
87,0
86,1
85,1
84,0
83,0
82,3
81,3
80,0
79,1
78,0
77,3
76,1
75,3
74,1
73,2
72,0
71,0
70,0
69,0
68,3
67,0
66,14
65,0
64,2
63,2
62,2
61,6
60,0
59,1
58,0
57,2
56,0
55,0
54,0
53,0
52,3
51,0
50,2
49,1
48,1
47,1
46,2
45,0
44,1
43,2
42,0
41,1
40,2
39,0
38,2
37,0
36,1
35,1
34,1
33,1
32,1
31,2
30,1
29,6
28,0
27,0
26,7
25,2
24,3
23,1
22,2
21,5
20,1
19,9
18,1
17,2
16,2
15,0
14,2
13,3
12,3
11,14
10,1
9,1
8,2
7,0
6,1
5,20
4,1
3,0
2,1
1,20
