"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.098641,0,58,0,0,,1.000000
37,,0.000000,1832.615686,0,58,0,0,,1.000000
36,,0.000000,58.000000,0,58,0,0,,1.000000
35,,0.000000,107.828913,0,58,0,0,,1.000000
34,,0.000000,2788.856781,0,57,0,0,,1.000000
33,,0.000000,11580.000000,0,58,0,0,,1.000000
32,,0.000000,90.307290,0,58,0,0,,1.000000
31,,0.000000,90.307290,0,58,0,0,,1.000000
30,,0.000000,0.235544,0,58,0,0,,1.000000
29,,0.000000,0.134505,0,58,0,0,,1.000000
28,,0.000000,107.828913,0,58,0,0,,1.000000
27,,0.000000,14339.650258,0,58,0,0,,1.000000
26,,11550.600000,11580.000000,0,58,0,0,yes,1.000000
25,,83.960600,213.097000,0,6,0,0,yes,1.000000
24,,208.627000,442.705000,0,21,0,0,yes,1.000000
23,,111.385700,183.843000,0,14,0,0,yes,1.000000
22,,47.074880,74.032400,0,9,0,0,yes,1.000000
21,,25.215290,42.170900,0,7,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,3,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,30000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,40000.000000,0,2,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,360150000.000000,0,8,0,0,yes,1.000000
7,,141523000.000000,367420000.000000,0,20,0,0,yes,1.000000
6,,10969000.000000,23930000.000000,0,6,0,0,yes,1.000000
5,,1726000.000000,1780000.000000,0,1,0,0,yes,1.000000
4,,1458000.000000,1720000.000000,0,7,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,20970000.000000,0,4,0,0,yes,1.000000
1,,79138000.000000,320880000.000000,0,13,0,0,yes,1.000000
