"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.104951,0,88,0,0,,1.000000
37,,0.000000,2815.830964,0,88,0,0,,1.000000
36,,0.000000,88.000000,0,88,0,0,,1.000000
35,,0.000000,87.972234,0,88,0,0,,1.000000
34,,0.000000,4306.999221,0,88,0,0,,1.000000
33,,0.000000,17347.000000,0,88,0,0,,1.000000
32,,0.000000,101.707146,0,88,0,0,,1.000000
31,,0.000000,101.707146,0,88,0,0,,1.000000
30,,0.000000,0.307383,0,88,0,0,,1.000000
29,,0.000000,0.218401,0,88,0,0,,1.000000
28,,0.000000,87.972234,0,88,0,0,,1.000000
27,,0.000000,19602.951263,0,88,0,0,,1.000000
26,,17325.900000,17347.000000,0,88,0,0,yes,1.000000
25,,83.960600,245.398000,0,6,0,0,yes,1.000000
24,,208.627000,573.171000,0,26,0,0,yes,1.000000
23,,111.385700,269.082000,0,21,0,0,yes,1.000000
22,,47.074880,180.828300,0,21,0,0,yes,1.000000
21,,25.215290,61.326600,0,10,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,3,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,80000.000000,0,5,0,0,yes,1.000000
14,,17000.000000,70000.000000,0,6,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,159690000.000000,0,9,0,0,yes,1.000000
7,,141523000.000000,719340000.000000,0,28,0,0,yes,1.000000
6,,10969000.000000,49290000.000000,0,18,0,0,yes,1.000000
5,,1726000.000000,3130000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,4050000.000000,0,9,0,0,yes,1.000000
3,,1713000.000000,10870000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,20690000.000000,0,5,0,0,yes,1.000000
1,,79138000.000000,300750000.000000,0,19,0,0,yes,1.000000
