"planning_unit","solution"
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,0
319,0
320,0
321,1
