"planning_unit","solution"
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,1
