"planning_unit","number"
321,17
320,9
319,9
318,11
317,20
316,13
315,13
314,13
313,3
312,11
311,10
310,9
309,13
308,10
307,13
306,9
305,14
304,13
303,12
302,11
301,10
300,13
299,7
298,10
297,9
296,11
295,13
294,10
293,10
292,10
291,10
290,13
289,13
288,12
287,12
286,10
285,7
284,10
283,9
282,13
281,9
280,11
279,13
278,13
277,7
276,10
275,11
274,14
273,9
272,9
271,10
270,8
269,10
268,11
267,12
266,11
265,11
264,11
263,11
262,11
261,16
260,14
259,8
258,11
257,14
256,10
255,9
254,9
253,11
252,13
251,12
250,11
249,9
248,14
247,10
246,15
245,10
244,13
243,10
242,12
241,9
240,12
239,12
238,12
237,9
236,10
235,12
234,11
233,12
232,12
231,12
230,11
229,10
228,7
227,11
226,10
225,10
224,11
223,9
222,12
221,11
220,12
219,10
218,13
217,14
216,13
215,10
214,10
213,13
212,12
211,14
210,11
209,8
208,12
207,11
206,10
205,15
204,13
203,17
202,12
201,16
200,9
199,14
198,15
197,14
196,11
195,10
194,12
193,12
192,15
191,12
190,8
189,13
188,11
187,13
186,12
185,14
184,9
183,15
182,14
181,13
180,15
179,12
178,10
177,14
176,14
175,10
174,15
173,13
172,15
171,10
170,11
169,13
168,12
167,11
166,16
165,13
164,14
163,13
162,11
161,13
160,17
159,15
158,15
157,12
156,13
155,12
154,15
153,11
152,7
151,13
150,12
149,15
148,14
147,10
146,16
145,9
144,11
143,20
142,14
141,15
140,12
139,12
138,12
137,13
136,11
135,16
134,10
133,14
132,12
131,10
130,15
129,13
128,13
127,11
126,12
125,12
124,16
123,10
122,13
121,14
120,10
119,14
118,10
117,14
116,14
115,9
114,11
113,10
112,12
111,13
110,12
109,9
108,13
107,14
106,10
105,16
104,9
103,15
102,10
101,11
100,11
99,11
98,9
97,12
96,9
95,10
94,9
93,13
92,12
91,13
90,15
89,14
88,12
87,13
86,15
85,14
84,17
83,11
82,14
81,12
80,13
79,12
78,9
77,11
76,12
75,14
74,10
73,8
72,14
71,10
70,11
69,12
68,11
67,15
66,12
65,17
64,9
63,14
62,14
61,14
60,12
59,11
58,14
57,12
56,11
55,16
54,14
53,15
52,11
51,14
50,11
49,13
48,13
47,12
46,13
45,9
44,13
43,8
42,13
41,14
40,11
39,10
38,11
37,9
36,9
35,10
34,8
33,9
32,10
31,11
30,9
29,14
28,10
27,12
26,11
25,13
24,7
23,12
22,12
21,12
20,10
19,15
18,10
17,12
16,11
15,11
14,14
13,12
12,14
11,10
10,11
9,15
8,13
7,9
6,10
5,20
4,8
3,10
2,15
1,20
