"planning_unit","number"
321,3
320,0
319,7
318,1
317,20
316,4
315,2
314,0
313,2
312,1
311,0
310,2
309,2
308,1
307,3
306,0
305,0
304,10
303,2
302,2
301,0
300,3
299,7
298,0
297,2
296,3
295,2
294,4
293,0
292,3
291,0
290,1
289,0
288,4
287,1
286,2
285,1
284,0
283,0
282,0
281,2
280,1
279,4
278,2
277,7
276,2
275,2
274,0
273,2
272,14
271,1
270,1
269,0
268,0
267,1
266,1
265,0
264,1
263,0
262,3
261,3
260,1
259,0
258,0
257,0
256,0
255,9
254,5
253,2
252,0
251,4
250,0
249,2
248,0
247,13
246,1
245,1
244,1
243,0
242,1
241,1
240,1
239,2
238,2
237,3
236,0
235,0
234,1
233,1
232,0
231,1
230,3
229,0
228,3
227,1
226,1
225,0
224,1
223,1
222,0
221,1
220,4
219,0
218,2
217,3
216,1
215,0
214,1
213,0
212,0
211,0
210,1
209,1
208,3
207,1
206,0
205,2
204,2
203,3
202,0
201,4
200,0
199,1
198,9
197,1
196,2
195,0
194,1
193,0
192,1
191,4
190,0
189,2
188,0
187,20
186,3
185,16
184,0
183,0
182,0
181,0
180,2
179,1
178,4
177,0
176,0
175,1
174,0
173,2
172,3
171,0
170,1
169,2
168,2
167,0
166,3
165,2
164,0
163,2
162,1
161,1
160,0
159,2
158,0
157,4
156,2
155,0
154,0
153,1
152,1
151,0
150,0
149,0
148,0
147,0
146,0
145,1
144,2
143,20
142,1
141,1
140,6
139,0
138,1
137,1
136,6
135,0
134,1
133,0
132,2
131,2
130,0
129,2
128,0
127,0
126,0
125,6
124,1
123,1
122,6
121,3
120,5
119,5
118,3
117,0
116,1
115,0
114,2
113,2
112,1
111,0
110,3
109,0
108,4
107,5
106,1
105,0
104,8
103,1
102,0
101,1
100,4
99,1
98,0
97,0
96,2
95,2
94,0
93,3
92,1
91,2
90,3
89,0
88,1
87,1
86,2
85,2
84,1
83,1
82,2
81,1
80,0
79,1
78,2
77,0
76,0
75,2
74,0
73,1
72,1
71,0
70,0
69,0
68,1
67,0
66,9
65,0
64,3
63,0
62,1
61,1
60,1
59,0
58,0
57,0
56,2
55,0
54,1
53,0
52,5
51,0
50,2
49,2
48,0
47,3
46,3
45,1
44,2
43,0
42,2
41,1
40,4
39,0
38,3
37,1
36,0
35,0
34,1
33,2
32,1
31,1
30,2
29,5
28,1
27,0
26,6
25,0
24,3
23,1
22,2
21,0
20,1
19,11
18,0
17,0
16,0
15,0
14,2
13,3
12,1
11,15
10,1
9,2
8,3
7,3
6,1
5,20
4,1
3,0
2,1
1,20
