"planning_unit","number"
321,1
320,1
319,0
318,1
317,20
316,2
315,17
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,1
304,16
303,19
302,1
301,1
300,1
299,4
298,0
297,20
296,19
295,0
294,2
293,0
292,0
291,0
290,0
289,0
288,8
287,0
286,0
285,0
284,0
283,0
282,0
281,1
280,12
279,19
278,0
277,0
276,3
275,20
274,0
273,0
272,20
271,20
270,12
269,0
268,0
267,1
266,0
265,0
264,0
263,0
262,0
261,20
260,0
259,0
258,0
257,0
256,0
255,5
254,16
253,0
252,0
251,0
250,1
249,13
248,0
247,20
246,0
245,2
244,0
243,0
242,0
241,17
240,17
239,0
238,0
237,1
236,0
235,0
234,0
233,0
232,0
231,0
230,8
229,0
228,0
227,0
226,1
225,0
224,1
223,2
222,13
221,5
220,0
219,2
218,0
217,0
216,1
215,2
214,0
213,0
212,0
211,18
210,0
209,0
208,3
207,0
206,0
205,5
204,1
203,0
202,14
201,1
200,0
199,0
198,0
197,0
196,0
195,0
194,0
193,1
192,0
191,0
190,0
189,15
188,2
187,4
186,2
185,1
184,0
183,0
182,19
181,1
180,0
179,0
178,11
177,0
176,0
175,0
174,0
173,1
172,0
171,1
170,1
169,1
168,5
167,11
166,18
165,0
164,0
163,0
162,4
161,3
160,1
159,1
158,2
157,1
156,0
155,1
154,0
153,0
152,0
151,0
150,0
149,6
148,0
147,0
146,2
145,0
144,0
143,20
142,0
141,0
140,2
139,0
138,0
137,8
136,0
135,0
134,0
133,1
132,0
131,0
130,0
129,3
128,0
127,0
126,0
125,0
124,6
123,0
122,9
121,0
120,3
119,0
118,0
117,0
116,0
115,0
114,3
113,0
112,1
111,0
110,0
109,0
108,1
107,0
106,1
105,0
104,2
103,0
102,0
101,9
100,0
99,2
98,0
97,0
96,2
95,0
94,0
93,1
92,1
91,1
90,0
89,0
88,0
87,0
86,1
85,0
84,0
83,0
82,0
81,2
80,1
79,0
78,2
77,2
76,1
75,0
74,0
73,0
72,1
71,0
70,0
69,0
68,6
67,0
66,20
65,0
64,0
63,0
62,2
61,1
60,0
59,0
58,0
57,0
56,1
55,0
54,0
53,0
52,0
51,0
50,1
49,1
48,0
47,0
46,0
45,0
44,0
43,0
42,0
41,2
40,0
39,0
38,0
37,1
36,0
35,0
34,0
33,20
32,20
31,0
30,0
29,7
28,0
27,0
26,5
25,1
24,0
23,0
22,3
21,0
20,4
19,6
18,0
17,0
16,0
15,0
14,1
13,0
12,0
11,8
10,0
9,0
8,1
7,0
6,2
5,20
4,0
3,8
2,0
1,20
