"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.299052,0,74,0,0,,1.000000
37,,0.000000,2239.385816,0,73,0,0,,1.000000
36,,0.000000,74.000000,0,74,0,0,,1.000000
35,,0.000000,158.671684,0,74,0,0,,1.000000
34,,0.000000,3537.102091,0,73,0,0,,1.000000
33,,0.000000,12945.000000,0,74,0,0,,1.000000
32,,0.000000,214.002928,0,74,0,0,,1.000000
31,,0.000000,214.002928,0,74,0,0,,1.000000
30,,0.000000,0.346356,0,74,0,0,,1.000000
29,,0.582750,0.582893,0,74,0,0,yes,1.000000
28,,0.000000,158.671684,0,74,0,0,,1.000000
27,,0.000000,17841.226616,0,73,0,0,,1.000000
26,,0.000000,12945.000000,0,74,0,0,,1.000000
25,,83.960600,97.228000,0,3,0,0,yes,1.000000
24,,208.627000,390.702000,0,18,0,0,yes,1.000000
23,,111.385700,358.587000,0,28,0,0,yes,1.000000
22,,47.074880,86.914000,0,10,0,0,yes,1.000000
21,,25.215290,61.210500,0,10,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,70000.000000,0,7,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,100000.000000,0,7,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,8530000.000000,0,2,0,0,yes,1.000000
8,,155863000.000000,868190000.000000,0,23,0,0,yes,1.000000
7,,141523000.000000,1026260000.000000,0,25,0,0,yes,1.000000
6,,10969000.000000,22390000.000000,0,3,0,0,yes,1.000000
5,,1726000.000000,11710000.000000,0,5,0,0,yes,1.000000
4,,1458000.000000,1730000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,9220000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,100660000.000000,0,10,0,0,yes,1.000000
1,,79138000.000000,385170000.000000,0,11,0,0,yes,1.000000
